Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000090	0.017956	0.000000	0.000052
0.020000	0.000359	0.035961	0.000002	0.000301
0.030000	0.000809	0.054009	0.000007	0.000889
0.040000	0.001440	0.072087	0.000021	0.001950
0.050000	0.002251	0.090188	0.000048	0.003613
0.060000	0.003243	0.108304	0.000096	0.006001
0.070000	0.004417	0.126431	0.000171	0.009225
0.080000	0.005772	0.144566	0.000283	0.013388
0.090000	0.007308	0.162710	0.000442	0.018580
0.100000	0.009026	0.180866	0.000659	0.024879
0.110000	0.010926	0.199043	0.000944	0.032347
0.120000	0.013007	0.217251	0.001310	0.041035
0.130000	0.015271	0.235492	0.001769	0.050978
0.140000	0.017717	0.253767	0.002333	0.062195
0.150000	0.020346	0.272070	0.003017	0.074690
0.160000	0.023159	0.290390	0.003831	0.088453
0.170000	0.026154	0.308705	0.004790	0.103458
0.180000	0.029333	0.326979	0.005905	0.119663
0.190000	0.032693	0.345173	0.007187	0.137012
0.200000	0.036236	0.363248	0.008648	0.155435
0.210000	0.039958	0.381159	0.010299	0.174848
0.220000	0.043858	0.398863	0.012148	0.195152
0.230000	0.047934	0.416336	0.014205	0.216239
0.240000	0.052184	0.433557	0.016475	0.237987
0.250000	0.056605	0.450517	0.018966	0.260268
0.260000	0.061194	0.467232	0.021682	0.282942
0.270000	0.065949	0.483725	0.024626	0.305866
0.280000	0.070867	0.500045	0.027800	0.328891
0.290000	0.075949	0.516245	0.031204	0.351868
0.300000	0.081192	0.532375	0.034836	0.374645
0.310000	0.086597	0.548515	0.038695	0.397078
0.320000	0.092163	0.564728	0.042776	0.419023
0.330000	0.097892	0.581070	0.047074	0.440347
0.340000	0.103785	0.597593	0.051581	0.460923
0.350000	0.109844	0.614335	0.056289	0.480638
0.360000	0.116072	0.631317	0.061190	0.499389
0.370000	0.122471	0.648550	0.066274	0.517091
0.380000	0.129044	0.666027	0.071528	0.533670
0.390000	0.135793	0.683733	0.076943	0.549070
0.400000	0.142719	0.701636	0.082506	0.563251
0.410000	0.149826	0.719695	0.088204	0.576189
0.420000	0.157114	0.737866	0.094025	0.587876
0.430000	0.164583	0.756105	0.099957	0.598322
0.440000	0.172236	0.774365	0.105988	0.607549
0.450000	0.180071	0.792595	0.112104	0.615597
0.460000	0.188087	0.810750	0.118296	0.622518
0.470000	0.196285	0.828779	0.124551	0.628376
0.480000	0.204662	0.846628	0.130860	0.633249
0.490000	0.213217	0.864250	0.137213	0.637223
0.500000	0.221946	0.881596	0.143602	0.640393
0.510000	0.230848	0.898609	0.150019	0.642861
0.520000	0.239917	0.915238	0.156457	0.644735
0.530000	0.249151	0.931437	0.162912	0.646125
0.540000	0.258545	0.947162	0.169378	0.647145
0.550000	0.268093	0.962383	0.175854	0.647907
0.560000	0.277790	0.977080	0.182336	0.648523
0.570000	0.287633	0.991256	0.188824	0.649102
0.580000	0.297614	1.004924	0.195318	0.649747
0.590000	0.307729	1.018107	0.201820	0.650559
0.600000	0.317975	1.030853	0.208330	0.651631
0.610000	0.328345	1.043216	0.214853	0.653048
0.620000	0.338838	1.055264	0.221393	0.654891
0.630000	0.349450	1.067069	0.227953	0.657228
0.640000	0.360179	1.078704	0.234539	0.660125
0.650000	0.371023	1.090236	0.241157	0.663636
0.660000	0.381983	1.101708	0.247814	0.667807
0.670000	0.393057	1.113157	0.254516	0.672676
0.680000	0.404246	1.124603	0.261270	0.678273
0.690000	0.415550	1.136043	0.268084	0.684618
0.700000	0.426967	1.147459	0.274965	0.691722
