Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000112	0.022350	0.000000	0.000064
0.020000	0.000447	0.044761	0.000002	0.000375
0.030000	0.001007	0.067225	0.000009	0.001106
0.040000	0.001792	0.089732	0.000026	0.002427
0.050000	0.002802	0.112272	0.000060	0.004497
0.060000	0.004037	0.134834	0.000119	0.007469
0.070000	0.005499	0.157410	0.000213	0.011483
0.080000	0.007186	0.179997	0.000353	0.016666
0.090000	0.009099	0.202599	0.000551	0.023130
0.100000	0.011238	0.225221	0.000820	0.030971
0.110000	0.013603	0.247872	0.001175	0.040270
0.120000	0.016195	0.270563	0.001630	0.051088
0.130000	0.019014	0.293301	0.002202	0.063468
0.140000	0.022061	0.316088	0.002905	0.077436
0.150000	0.025336	0.338917	0.003756	0.092997
0.160000	0.028840	0.361772	0.004770	0.110137
0.170000	0.032572	0.384618	0.005964	0.128826
0.180000	0.036532	0.407421	0.007352	0.149011
0.190000	0.040720	0.430125	0.008949	0.170622
0.200000	0.045134	0.452680	0.010769	0.193574
0.210000	0.049773	0.475034	0.012824	0.217760
0.220000	0.054634	0.497124	0.015128	0.243059
0.230000	0.059714	0.518917	0.017689	0.269336
0.240000	0.065011	0.540388	0.020517	0.296440
0.250000	0.070521	0.561533	0.023620	0.324210
0.260000	0.076241	0.582363	0.027003	0.352472
0.270000	0.082167	0.602918	0.030670	0.381048
0.280000	0.088298	0.623254	0.034624	0.409752
0.290000	0.094632	0.643424	0.038865	0.438397
0.300000	0.101167	0.663525	0.043391	0.466797
0.310000	0.107902	0.683640	0.048200	0.494769
0.320000	0.114840	0.703848	0.053285	0.522134
0.330000	0.121980	0.724224	0.058640	0.548726
0.340000	0.129325	0.744834	0.064256	0.574387
0.350000	0.136878	0.765729	0.070124	0.598976
0.360000	0.144641	0.786935	0.076232	0.622367
0.370000	0.152617	0.808467	0.082567	0.644450
0.380000	0.160811	0.830317	0.089116	0.665135
0.390000	0.169225	0.852461	0.095865	0.684353
0.400000	0.177861	0.874859	0.102798	0.702053
0.410000	0.186723	0.897466	0.109901	0.718207
0.420000	0.195811	0.920223	0.117157	0.732806
0.430000	0.205127	0.943071	0.124552	0.745860
0.440000	0.214672	0.965945	0.132069	0.757400
0.450000	0.224446	0.988782	0.139695	0.767474
