Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000057	0.011397	0.000000	0.000033
0.020000	0.000228	0.022837	0.000001	0.000191
0.030000	0.000514	0.034315	0.000005	0.000564
0.040000	0.000914	0.045827	0.000013	0.001238
0.050000	0.001430	0.057367	0.000031	0.002295
0.060000	0.002062	0.068930	0.000061	0.003813
0.070000	0.002809	0.080512	0.000109	0.005864
0.080000	0.003672	0.092113	0.000180	0.008512
0.090000	0.004651	0.103737	0.000281	0.011817
0.100000	0.005747	0.115387	0.000419	0.015828
0.110000	0.006959	0.127072	0.000600	0.020586
0.120000	0.008289	0.138798	0.000833	0.026123
0.130000	0.009735	0.150574	0.001125	0.032464
0.140000	0.011300	0.162399	0.001485	0.039622
0.150000	0.012984	0.174270	0.001921	0.047600
0.160000	0.014786	0.186178	0.002440	0.056394
0.170000	0.016707	0.198099	0.003051	0.065989
0.180000	0.018748	0.210011	0.003762	0.076359
0.190000	0.020907	0.221878	0.004581	0.087471
0.200000	0.023185	0.233662	0.005514	0.099282
0.210000	0.025580	0.245330	0.006569	0.111737
0.220000	0.028091	0.256846	0.007751	0.124778
0.230000	0.030716	0.268186	0.009066	0.138333
0.240000	0.033454	0.279330	0.010519	0.152327
0.250000	0.036302	0.290277	0.012113	0.166675
0.260000	0.039259	0.301037	0.013853	0.181290
0.270000	0.042323	0.311626	0.015740	0.196077
0.280000	0.045491	0.322086	0.017775	0.210942
0.290000	0.048764	0.332461	0.019959	0.225785
0.300000	0.052140	0.342800	0.022290	0.240511
0.310000	0.055620	0.353161	0.024768	0.255022
0.320000	0.059204	0.363596	0.027390	0.269227
0.330000	0.062892	0.374154	0.030151	0.283038
0.340000	0.066687	0.384881	0.033049	0.296374
0.350000	0.070591	0.395808	0.036077	0.309161
0.360000	0.074604	0.406955	0.039230	0.321335
0.370000	0.078731	0.418330	0.042501	0.332838
0.380000	0.082972	0.429926	0.045884	0.343627
0.390000	0.087330	0.441730	0.049372	0.353665
0.400000	0.091807	0.453718	0.052955	0.362930
0.410000	0.096405	0.465863	0.056627	0.371408
0.420000	0.101124	0.478119	0.060381	0.379097
0.430000	0.105967	0.490447	0.064207	0.386004
0.440000	0.110933	0.502809	0.068098	0.392147
0.450000	0.116023	0.515166	0.072047	0.397554
0.460000	0.121237	0.527475	0.076047	0.402260
0.470000	0.126573	0.539695	0.080090	0.406310
0.480000	0.132030	0.551788	0.084171	0.409753
0.490000	0.137608	0.563705	0.088284	0.412646
0.500000	0.143303	0.575405	0.092422	0.415051
0.510000	0.149115	0.586843	0.096583	0.417033
0.520000	0.155039	0.597977	0.100762	0.418660
0.530000	0.161073	0.608773	0.104955	0.420002
0.540000	0.167214	0.619195	0.109161	0.421128
0.550000	0.173456	0.629221	0.113377	0.422108
0.560000	0.179797	0.638836	0.117603	0.423008
0.570000	0.186231	0.648041	0.121838	0.423894
0.580000	0.192756	0.656847	0.126081	0.424827
0.590000	0.199367	0.665278	0.130334	0.425865
0.600000	0.206061	0.673381	0.134599	0.427060
0.610000	0.212834	0.681204	0.138876	0.428461
0.620000	0.219684	0.688811	0.143169	0.430112
0.630000	0.226609	0.696260	0.147480	0.432052
0.640000	0.233609	0.703604	0.151811	0.434316
0.650000	0.240681	0.710899	0.156167	0.436932
0.660000	0.247827	0.718187	0.160551	0.439925
0.670000	0.255045	0.725507	0.164967	0.443317
0.680000	0.262337	0.732873	0.169419	0.447122
0.690000	0.269703	0.740287	0.173911	0.451353
0.700000	0.277143	0.747733	0.178447	0.456013
0.710000	0.284657	0.755176	0.183032	0.461106
0.720000	0.292246	0.762573	0.187671	0.466626
0.730000	0.299909	0.769880	0.192366	0.472564
0.740000	0.307643	0.777051	0.197123	0.478903
0.750000	0.315449	0.784044	0.201946	0.485622
0.760000	0.323324	0.790822	0.206837	0.492693
0.770000	0.331265	0.797366	0.211801	0.500082
0.780000	0.339270	0.803670	0.216840	0.507748
