Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000082	0.016487	0.000000	0.000047
0.020000	0.000330	0.033026	0.000002	0.000277
0.030000	0.000743	0.049614	0.000007	0.000816
0.040000	0.001322	0.066241	0.000019	0.001791
0.050000	0.002068	0.082899	0.000044	0.003319
0.060000	0.002980	0.099581	0.000088	0.005513
0.070000	0.004060	0.116281	0.000157	0.008476
0.080000	0.005306	0.132999	0.000260	0.012303
0.090000	0.006720	0.149738	0.000406	0.017077
0.100000	0.008301	0.166503	0.000605	0.022870
0.110000	0.010050	0.183301	0.000867	0.029740
0.120000	0.011967	0.200144	0.001204	0.037735
0.130000	0.014053	0.217038	0.001626	0.046886
0.140000	0.016308	0.233983	0.002145	0.057213
0.150000	0.018733	0.250976	0.002774	0.068721
0.160000	0.021328	0.268001	0.003524	0.081401
0.170000	0.024093	0.285034	0.004406	0.095231
0.180000	0.027028	0.302042	0.005432	0.110172
0.190000	0.030133	0.318981	0.006613	0.126176
0.200000	0.033407	0.335805	0.007959	0.143177
0.210000	0.036849	0.352471	0.009480	0.161100
0.220000	0.040456	0.368936	0.011184	0.179856
0.230000	0.044227	0.385164	0.013079	0.199343
0.240000	0.048159	0.401134	0.015173	0.219451
0.250000	0.052249	0.416841	0.017470	0.240061
0.260000	0.056495	0.432296	0.019975	0.261044
0.270000	0.060894	0.447532	0.022692	0.282267
0.280000	0.065445	0.462593	0.025621	0.303592
0.290000	0.070145	0.477534	0.028763	0.324880
0.300000	0.074995	0.492425	0.032118	0.345991
0.310000	0.079994	0.507332	0.035682	0.366789
0.320000	0.085142	0.522323	0.039452	0.387142
0.330000	0.090441	0.537467	0.043423	0.406925
0.340000	0.095892	0.552815	0.047588	0.426021
0.350000	0.101498	0.568407	0.051941	0.444325
0.360000	0.107261	0.584269	0.056472	0.461742
0.370000	0.113184	0.600412	0.061172	0.478193
0.380000	0.119270	0.616829	0.066032	0.493612
