V_avg	CT_avg	xt_mean	xt_std	xb_mean	xb_std
3.999998	0.923000	0.207511	0.199429	0.136344	0.132802
4.999997	0.919000	0.323018	0.331122	0.212238	0.220517
6.000001	0.904000	0.457692	0.494763	0.300725	0.329521
7.000000	0.858000	0.591348	0.668787	0.388544	0.445452
8.000002	0.814000	0.732788	0.861775	0.481477	0.574022
9.000000	0.814000	0.927404	1.128943	0.609349	0.752014
9.999999	0.814000	1.144856	1.437674	0.752225	0.957703
11.000001	0.814000	1.385130	1.788789	0.910097	1.191637
12.000001	0.577000	1.168330	1.547662	0.767649	1.031036
13.000001	0.419000	0.995563	1.350165	0.654133	0.899489
14.000001	0.323000	0.889945	1.233289	0.584737	0.821645
15.000000	0.259000	0.819069	1.158194	0.538168	0.771631
16.000000	0.211000	0.759091	1.093592	0.498760	0.728604
16.999999	0.175000	0.710625	1.042003	0.466915	0.694245
18.000001	0.148000	0.673664	1.004238	0.442630	0.669095
19.000002	0.126000	0.638922	0.967411	0.419803	0.644568
20.000000	0.109000	0.612334	0.940811	0.402334	0.626854
21.000001	0.095000	0.588299	0.916590	0.386542	0.610723
22.000000	0.084000	0.570815	0.901341	0.375054	0.600570
22.999999	0.074000	0.549534	0.878793	0.361071	0.585552
23.999999	0.066000	0.533593	0.863485	0.350597	0.575358
25.000000	0.059000	0.517504	0.847004	0.340026	0.564382
