Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000019	0.003784	0.000000	0.000011
0.020000	0.000076	0.007574	0.000000	0.000063
0.030000	0.000170	0.011369	0.000002	0.000187
0.040000	0.000303	0.015169	0.000004	0.000411
0.050000	0.000474	0.018972	0.000010	0.000761
0.060000	0.000683	0.022774	0.000020	0.001263
0.070000	0.000929	0.026575	0.000036	0.001941
0.080000	0.001214	0.030375	0.000060	0.002817
0.090000	0.001537	0.034173	0.000093	0.003909
0.100000	0.001897	0.037970	0.000139	0.005233
0.110000	0.002296	0.041766	0.000199	0.006802
0.120000	0.002733	0.045564	0.000275	0.008627
0.130000	0.003207	0.049363	0.000372	0.010715
0.140000	0.003720	0.053163	0.000491	0.013069
0.150000	0.004271	0.056963	0.000634	0.015691
0.160000	0.004859	0.060761	0.000805	0.018577
0.170000	0.005486	0.064553	0.001007	0.021723
0.180000	0.006150	0.068334	0.001241	0.025118
0.190000	0.006853	0.072097	0.001510	0.028750
0.200000	0.007592	0.075837	0.001816	0.032605
0.210000	0.008369	0.079544	0.002163	0.036665
0.220000	0.009183	0.083213	0.002550	0.040908
0.230000	0.010033	0.086839	0.002981	0.045313
0.240000	0.010920	0.090418	0.003457	0.049852
0.250000	0.011841	0.093951	0.003979	0.054500
0.260000	0.012798	0.097439	0.004547	0.059228
0.270000	0.013790	0.100886	0.005163	0.064004
0.280000	0.014816	0.104299	0.005827	0.068800
0.290000	0.015876	0.107689	0.006539	0.073582
0.300000	0.016970	0.111067	0.007299	0.078322
0.310000	0.018097	0.114441	0.008106	0.082987
0.320000	0.019259	0.117823	0.008958	0.087549
0.330000	0.020454	0.121225	0.009856	0.091980
0.340000	0.021683	0.124652	0.010797	0.096253
0.350000	0.022947	0.128112	0.011781	0.100346
0.360000	0.024246	0.131609	0.012804	0.104236
0.370000	0.025579	0.135144	0.013865	0.107906
0.380000	0.026949	0.138717	0.014961	0.111340
0.390000	0.028354	0.142324	0.016091	0.114525
0.400000	0.029795	0.145960	0.017251	0.117454
0.410000	0.031273	0.149617	0.018439	0.120121
0.420000	0.032788	0.153289	0.019652	0.122524
0.430000	0.034339	0.156969	0.020888	0.124663
0.440000	0.035927	0.160649	0.022145	0.126544
0.450000	0.037552	0.164321	0.023418	0.128174
0.460000	0.039213	0.167975	0.024707	0.129563
0.470000	0.040911	0.171605	0.026009	0.130725
0.480000	0.042645	0.175202	0.027321	0.131676
0.490000	0.044415	0.178757	0.028642	0.132432
0.500000	0.046220	0.182262	0.029969	0.133015
0.510000	0.048060	0.185708	0.031302	0.133445
0.520000	0.049934	0.189085	0.032638	0.133745
0.530000	0.051842	0.192386	0.033976	0.133939
0.540000	0.053782	0.195602	0.035316	0.134051
0.550000	0.055753	0.198728	0.036657	0.134105
0.560000	0.057756	0.201762	0.037998	0.134126
0.570000	0.059788	0.204702	0.039339	0.134137
0.580000	0.061850	0.207552	0.040681	0.134161
0.590000	0.063939	0.210313	0.042023	0.134220
0.600000	0.066056	0.212994	0.043365	0.134335
0.610000	0.068199	0.215603	0.044710	0.134527
0.620000	0.070368	0.218152	0.046056	0.134812
0.630000	0.072562	0.220652	0.047406	0.135207
0.640000	0.074780	0.223114	0.048761	0.135726
0.650000	0.077024	0.225549	0.050121	0.136383
0.660000	0.079291	0.227963	0.051489	0.137188
0.670000	0.081583	0.230364	0.052866	0.138150
0.680000	0.083899	0.232755	0.054253	0.139275
0.690000	0.086238	0.235134	0.055652	0.140569
0.700000	0.088601	0.237498	0.057065	0.142034
0.710000	0.090988	0.239841	0.058493	0.143670
0.720000	0.093398	0.242156	0.059938	0.145475
0.730000	0.095831	0.244434	0.061403	0.147446
0.740000	0.098286	0.246663	0.062888	0.149575
0.750000	0.100764	0.248836	0.064395	0.151853
0.760000	0.103263	0.250948	0.065925	0.154270
0.770000	0.105783	0.252994	0.067481	0.156812
0.780000	0.108323	0.254973	0.069062	0.159464
0.790000	0.110882	0.256886	0.070670	0.162209
0.800000	0.113460	0.258736	0.072306	0.165028
0.810000	0.116056	0.260527	0.073971	0.167901
0.820000	0.118670	0.262265	0.075665	0.170808
0.830000	0.121302	0.263956	0.077387	0.173727
0.840000	0.123949	0.265603	0.079139	0.176635
0.850000	0.126614	0.267208	0.080920	0.179510
0.860000	0.129293	0.268773	0.082729	0.182330
0.870000	0.131989	0.270295	0.084566	0.185074
0.880000	0.134699	0.271769	0.086430	0.187721
0.890000	0.137424	0.273192	0.088320	0.190250
0.900000	0.140163	0.274558	0.090235	0.192642
0.910000	0.142915	0.275861	0.092173	0.194880
0.920000	0.145680	0.277096	0.094132	0.196948
0.930000	0.148457	0.278260	0.096111	0.198830
0.940000	0.151245	0.279351	0.098108	0.200514
0.950000	0.154043	0.280370	0.100120	0.201988
0.960000	0.156852	0.281321	0.102147	0.203243
0.970000	0.159670	0.282208	0.104185	0.204273
0.980000	0.162496	0.283039	0.106232	0.205073
0.990000	0.165330	0.283820	0.108285	0.205640
1.000000	0.168172	0.284558	0.110344	0.205974
