Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000086	0.017269	0.000000	0.000050
0.020000	0.000345	0.034567	0.000002	0.000290
0.030000	0.000778	0.051884	0.000007	0.000855
0.040000	0.001383	0.069211	0.000020	0.001874
0.050000	0.002162	0.086541	0.000046	0.003471
0.060000	0.003114	0.103867	0.000092	0.005764
0.070000	0.004239	0.121183	0.000164	0.008859
0.080000	0.005538	0.138485	0.000272	0.012852
0.090000	0.007009	0.155770	0.000425	0.017831
0.100000	0.008653	0.173041	0.000632	0.023868
0.110000	0.010470	0.190299	0.000906	0.031024
0.120000	0.012459	0.207547	0.001257	0.039344
0.130000	0.014621	0.224788	0.001697	0.048860
0.140000	0.016955	0.242022	0.002238	0.059589
0.150000	0.019461	0.259244	0.002892	0.071533
0.160000	0.022139	0.276445	0.003673	0.084680
0.170000	0.024990	0.293610	0.004590	0.099002
0.180000	0.028011	0.310717	0.005656	0.114457
0.190000	0.031204	0.327741	0.006883	0.130990
0.200000	0.034566	0.344653	0.008280	0.148530
0.210000	0.038096	0.361426	0.009856	0.166996
0.220000	0.041794	0.378040	0.011622	0.186291
0.230000	0.045657	0.394470	0.013585	0.206312
0.240000	0.049683	0.410705	0.015751	0.226942
0.250000	0.053870	0.426744	0.018125	0.248057
0.260000	0.058217	0.442594	0.020713	0.269527
0.270000	0.062721	0.458275	0.023516	0.291215
0.280000	0.067382	0.473814	0.026537	0.312982
0.290000	0.072197	0.489247	0.029776	0.334686
0.300000	0.077167	0.504617	0.033230	0.356189
0.310000	0.082290	0.519965	0.036898	0.377351
0.320000	0.087566	0.535337	0.040776	0.398041
0.330000	0.092997	0.550773	0.044857	0.418132
0.340000	0.098582	0.566304	0.049136	0.437505
0.350000	0.104323	0.581953	0.053605	0.456054
0.360000	0.110221	0.597737	0.058254	0.473680
0.370000	0.116278	0.613663	0.063075	0.490302
0.380000	0.122495	0.629725	0.068057	0.505848
0.390000	0.128873	0.645913	0.073188	0.520263
0.400000	0.135414	0.662209	0.078458	0.533505
0.410000	0.142118	0.678582	0.083854	0.545550
0.420000	0.148985	0.695006	0.089365	0.556388
0.430000	0.156018	0.711447	0.094978	0.566021
0.440000	0.163214	0.727875	0.100681	0.574470
0.450000	0.170575	0.744259	0.106464	0.581767
0.460000	0.178099	0.760567	0.112313	0.587960
0.470000	0.185786	0.776768	0.118219	0.593107
0.480000	0.193634	0.792828	0.124172	0.597279
0.490000	0.201642	0.808710	0.130162	0.600557
0.500000	0.209808	0.824380	0.136180	0.603031
0.510000	0.218129	0.839803	0.142220	0.604799
0.520000	0.226603	0.854944	0.148274	0.605963
0.530000	0.235227	0.869768	0.154338	0.606632
0.540000	0.243997	0.884245	0.160406	0.606916
0.550000	0.252910	0.898353	0.166475	0.606930
0.560000	0.261963	0.912079	0.172544	0.606784
0.570000	0.271151	0.925416	0.178611	0.606589
0.580000	0.280470	0.938371	0.184676	0.606453
0.590000	0.289917	0.950960	0.190740	0.606479
0.600000	0.299488	0.963211	0.196806	0.606766
0.610000	0.309180	0.975158	0.202877	0.607406
0.620000	0.318990	0.986840	0.208956	0.608484
0.630000	0.328916	0.998302	0.215048	0.610077
0.640000	0.338956	1.009587	0.221159	0.612255
0.650000	0.349107	1.020736	0.227295	0.615078
0.660000	0.359370	1.031777	0.233463	0.618599
0.670000	0.369743	1.042736	0.239670	0.622859
0.680000	0.380224	1.053622	0.245923	0.627890
0.690000	0.390815	1.064437	0.252230	0.633715
0.700000	0.401513	1.075166	0.258600	0.640346
0.710000	0.412318	1.085781	0.265040	0.647785
0.720000	0.423228	1.096248	0.271558	0.656021
0.730000	0.434242	1.106534	0.278163	0.665035
0.740000	0.445358	1.116604	0.284861	0.674796
0.750000	0.456573	1.126424	0.291661	0.685261
0.760000	0.467886	1.135970	0.298569	0.696378
0.770000	0.479292	1.145226	0.305591	0.708084
0.780000	0.490789	1.154187	0.312732	0.720309
0.790000	0.502375	1.162857	0.319998	0.732973
0.800000	0.514045	1.171252	0.327393	0.745987
0.810000	0.525799	1.179388	0.334919	0.759259
0.820000	0.537632	1.187286	0.342579	0.772691
0.830000	0.549544	1.194967	0.350373	0.786181
0.840000	0.561531	1.202448	0.358302	0.799627
0.850000	0.573592	1.209739	0.366365	0.812924
0.860000	0.585725	1.216843	0.374560	0.825969
0.870000	0.597928	1.223755	0.382883	0.838660
0.880000	0.610200	1.230460	0.391331	0.850901
0.890000	0.622537	1.236935	0.399899	0.862597
0.900000	0.634937	1.243163	0.408581	0.873659
0.910000	0.647399	1.249121	0.417370	0.884005
0.920000	0.659919	1.254788	0.426259	0.893558
0.930000	0.672494	1.260151	0.435239	0.902251
0.940000	0.685121	1.265202	0.444301	0.910022
0.950000	0.697797	1.269946	0.453436	0.916821
0.960000	0.710519	1.274397	0.462634	0.922607
0.970000	0.723284	1.278578	0.471884	0.927348
0.980000	0.736089	1.282512	0.481177	0.931023
0.990000	0.748933	1.286228	0.490501	0.933622
1.000000	0.761813	1.289750	0.499846	0.935148
1.010000	0.774728	1.293104	0.509201	0.935615
1.020000	0.787675	1.296310	0.518555	0.935046
1.030000	0.800654	1.299379	0.527898	0.933479
1.040000	0.813662	1.302311	0.537221	0.930960
1.050000	0.826699	1.305099	0.546514	0.927546
1.060000	0.839764	1.307734	0.555769	0.923306
1.070000	0.852853	1.310199	0.564978	0.918314
1.080000	0.865967	1.312475	0.574133	0.912653
1.090000	0.879102	1.314549	0.583229	0.906411
1.100000	0.892257	1.316406	0.592260	0.899683
1.110000	0.905430	1.318045	0.601222	0.892567
1.120000	0.918617	1.319468	0.610110	0.885163
1.130000	0.931818	1.320684	0.618924	0.877573
1.140000	0.945030	1.321709	0.627662	0.869897
1.150000	0.958252	1.322563	0.636322	0.862238
1.160000	0.971481	1.323271	0.644907	0.854695
1.170000	0.984717	1.323853	0.653417	0.847365
1.180000	0.997958	1.324323	0.661855	0.840338
1.190000	1.011203	1.324690	0.670225	0.833703
1.200000	1.024451	1.324945	0.678531	0.827541
1.210000	1.037701	1.325075	0.686778	0.821927
1.220000	1.050952	1.325058	0.694971	0.816927
1.230000	1.064202	1.324854	0.703118	0.812599
1.240000	1.077449	1.324412	0.711226	0.808989
1.250000	1.090689	1.323685	0.719301	0.806135
1.260000	1.103921	1.322631	0.727351	0.804062
1.270000	1.117141	1.321204	0.735384	0.802780
1.280000	1.130344	1.319367	0.743409	0.802291
1.290000	1.143527	1.317095	0.751433	0.802581
1.300000	1.156684	1.314376	0.759463	0.803624
1.310000	1.169813	1.311213	0.767508	0.805380
1.320000	1.182907	1.307620	0.775573	0.807799
1.330000	1.195964	1.303619	0.783666	0.810821
1.340000	1.208978	1.299237	0.791791	0.814371
1.350000	1.221947	1.294510	0.799955	0.818368
1.360000	1.234867	1.289470	0.808160	0.822724
1.370000	1.247736	1.284143	0.816410	0.827343
1.380000	1.260549	1.278550	0.824707	0.832125
1.390000	1.273306	1.272704	0.833053	0.836965
1.400000	1.286003	1.266612	0.841446	0.841759
1.410000	1.298637	1.260268	0.849887	0.846396
1.420000	1.311207	1.253664	0.858373	0.850772
1.430000	1.323710	1.246788	0.866902	0.854781
1.440000	1.336142	1.239622	0.875468	0.858320
1.450000	1.348501	1.232153	0.884066	0.861289
1.460000	1.360784	1.224373	0.892691	0.863595
1.470000	1.372987	1.216277	0.901336	0.865150
1.480000	1.385108	1.207867	0.909991	0.865872
1.490000	1.397144	1.199153	0.918650	0.865687
1.500000	1.409091	1.190150	0.927302	0.864532
1.510000	1.420946	1.180875	0.935937	0.862352
1.520000	1.432707	1.171351	0.944545	0.859103
1.530000	1.444372	1.161603	0.953116	0.854752
1.540000	1.455939	1.151651	0.961637	0.849277
1.550000	1.467405	1.141510	0.970097	0.842671
1.560000	1.478768	1.131193	0.978486	0.834936
1.570000	1.490028	1.120709	0.986792	0.826089
1.580000	1.501182	1.110059	0.995004	0.816156
1.590000	1.512228	1.099238	1.003112	0.805179
1.600000	1.523166	1.088239	1.011105	0.793206
1.610000	1.533993	1.077052	1.018973	0.780301
1.620000	1.544706	1.065669	1.026708	0.766532
1.630000	1.555305	1.054084	1.034301	0.751979
1.640000	1.565787	1.042291	1.041745	0.736729
1.650000	1.576150	1.030291	1.049034	0.720876
1.660000	1.586392	1.018085	1.056161	0.704518
1.670000	1.596511	1.005683	1.063123	0.687757
1.680000	1.606506	0.993094	1.069915	0.670699
1.690000	1.616373	0.980333	1.076536	0.653451
1.700000	1.626112	0.967412	1.082984	0.636122
1.710000	1.635721	0.954343	1.089258	0.618818
1.720000	1.645198	0.941135	1.095361	0.601644
1.730000	1.654543	0.927796	1.101292	0.584702
1.740000	1.663754	0.914328	1.107056	0.568091
1.750000	1.672829	0.900734	1.112655	0.551903
1.760000	1.681768	0.887008	1.118095	0.536223
1.770000	1.690569	0.873146	1.123382	0.521130
1.780000	1.699230	0.859142	1.128520	0.506694
1.790000	1.707751	0.844991	1.133518	0.492975
1.800000	1.716130	0.830684	1.138382	0.480023
1.810000	1.724364	0.816217	1.143121	0.467877
1.820000	1.732453	0.801588	1.147743	0.456567
1.830000	1.740395	0.786797	1.152255	0.446108
1.840000	1.748189	0.771848	1.156668	0.436505
1.850000	1.755832	0.756742	1.160988	0.427752
1.860000	1.763323	0.741485	1.165225	0.419831
1.870000	1.770661	0.726077	1.169388	0.412712
1.880000	1.777844	0.710519	1.173482	0.406355
1.890000	1.784871	0.694811	1.177517	0.400709
1.900000	1.791740	0.678949	1.181499	0.395715
1.910000	1.798449	0.662930	1.185433	0.391303
1.920000	1.804998	0.646748	1.189326	0.387396
1.930000	1.811384	0.630399	1.193183	0.383911
1.940000	1.817605	0.613879	1.197006	0.380756
1.950000	1.823661	0.597183	1.200798	0.377836
1.960000	1.829548	0.580312	1.204563	0.375053
