Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000085	0.016961	0.000000	0.000049
0.020000	0.000339	0.033954	0.000002	0.000285
0.030000	0.000764	0.050973	0.000007	0.000839
0.040000	0.001359	0.068008	0.000020	0.001841
0.050000	0.002124	0.085052	0.000046	0.003410
0.060000	0.003060	0.102098	0.000090	0.005663
0.070000	0.004166	0.119139	0.000161	0.008704
0.080000	0.005443	0.136172	0.000267	0.012630
0.090000	0.006890	0.153197	0.000417	0.017524
0.100000	0.008507	0.170216	0.000621	0.023459
0.110000	0.010294	0.187232	0.000890	0.030495
0.120000	0.012251	0.204251	0.001235	0.038676
0.130000	0.014379	0.221276	0.001668	0.048036
0.140000	0.016677	0.238305	0.002200	0.058591
0.150000	0.019145	0.255335	0.002843	0.070343
0.160000	0.021783	0.272355	0.003611	0.083282
0.170000	0.024592	0.289347	0.004513	0.097381
0.180000	0.027570	0.306289	0.005562	0.112599
0.190000	0.030717	0.323150	0.006768	0.128881
0.200000	0.034033	0.339902	0.008143	0.146161
0.210000	0.037515	0.356513	0.009695	0.164358
0.220000	0.041163	0.372957	0.011433	0.183378
0.230000	0.044974	0.389207	0.013365	0.203119
0.240000	0.048946	0.405251	0.015497	0.223466
0.250000	0.053078	0.421086	0.017836	0.244298
0.260000	0.057367	0.436720	0.020384	0.265486
0.270000	0.061812	0.452178	0.023146	0.286894
0.280000	0.066410	0.467486	0.026122	0.308385
0.290000	0.071161	0.482686	0.029314	0.329821
0.300000	0.076064	0.497829	0.032718	0.351061
0.310000	0.081118	0.512959	0.036334	0.371969
0.320000	0.086323	0.528121	0.040156	0.392415
0.330000	0.091680	0.543366	0.044180	0.412272
0.340000	0.097191	0.558730	0.048399	0.431425
0.350000	0.102855	0.574237	0.052806	0.449767
0.360000	0.108676	0.589907	0.057392	0.467202
0.370000	0.114654	0.605745	0.062147	0.483648
0.380000	0.120791	0.621747	0.067061	0.499038
0.390000	0.127090	0.637899	0.072124	0.513316
0.400000	0.133550	0.654181	0.077323	0.526442
0.410000	0.140173	0.670562	0.082649	0.538393
0.420000	0.146961	0.687012	0.088087	0.549159
0.430000	0.153914	0.703492	0.093628	0.558746
0.440000	0.161031	0.719966	0.099258	0.567174
0.450000	0.168313	0.736404	0.104968	0.574476
0.460000	0.175759	0.752768	0.110744	0.580699
0.470000	0.183368	0.769022	0.116578	0.585903
0.480000	0.191139	0.785131	0.122459	0.590157
0.490000	0.199070	0.801053	0.128378	0.593542
0.500000	0.207159	0.816750	0.134327	0.596147
0.510000	0.215404	0.832184	0.140299	0.598067
0.520000	0.223802	0.847315	0.146287	0.599404
0.530000	0.232349	0.862105	0.152286	0.600264
0.540000	0.241043	0.876525	0.158291	0.600755
0.550000	0.249878	0.890548	0.164300	0.600987
0.560000	0.258852	0.904159	0.170310	0.601068
0.570000	0.267960	0.917353	0.176321	0.601105
0.580000	0.277198	0.930142	0.182332	0.601202
0.590000	0.286562	0.942545	0.188346	0.601457
0.600000	0.296048	0.954588	0.194362	0.601966
0.610000	0.305652	0.966313	0.200386	0.602815
0.620000	0.315373	0.977763	0.206420	0.604086
0.630000	0.325207	0.988992	0.212469	0.605852
0.640000	0.335152	1.000052	0.218539	0.608178
0.650000	0.345208	1.010990	0.224635	0.611122
0.660000	0.355372	1.021843	0.230764	0.614733
0.670000	0.365644	1.032635	0.236932	0.619049
0.680000	0.376024	1.043376	0.243147	0.624101
0.690000	0.386512	1.054064	0.249417	0.629912
0.700000	0.397105	1.064682	0.255748	0.636491
0.710000	0.407805	1.075206	0.262149	0.643841
0.720000	0.418609	1.085600	0.268627	0.651953
0.730000	0.429516	1.095820	0.275190	0.660807
0.740000	0.440525	1.105828	0.281846	0.670374
0.750000	0.451632	1.115590	0.288600	0.680614
0.760000	0.462836	1.125079	0.295460	0.691476
0.770000	0.474133	1.134274	0.302431	0.702902
0.780000	0.485520	1.143171	0.309520	0.714822
0.790000	0.496995	1.151772	0.316729	0.727161
0.800000	0.508555	1.160093	0.324064	0.739834
0.810000	0.520196	1.168154	0.331527	0.752752
0.820000	0.531917	1.175979	0.339120	0.765820
0.830000	0.543715	1.183590	0.346843	0.778941
0.840000	0.555588	1.191002	0.354698	0.792015
0.850000	0.567534	1.198229	0.362683	0.804944
0.860000	0.579552	1.205270	0.370796	0.817627
0.870000	0.591639	1.212120	0.379035	0.829966
0.880000	0.603794	1.218765	0.387394	0.841870
0.890000	0.616014	1.225182	0.395870	0.853245
0.900000	0.628297	1.231342	0.404457	0.864008
0.910000	0.640640	1.237222	0.413148	0.874078
0.920000	0.653040	1.242802	0.421936	0.883382
0.930000	0.665495	1.248065	0.430813	0.891855
0.940000	0.678000	1.253006	0.439770	0.899436
0.950000	0.690554	1.257628	0.448799	0.906077
0.960000	0.703152	1.261945	0.457889	0.911736
0.970000	0.715792	1.265979	0.467030	0.916384
0.980000	0.728471	1.269757	0.476213	0.919998
0.990000	0.741186	1.273313	0.485426	0.922568
1.000000	0.753936	1.276678	0.494661	0.924096
1.010000	0.766719	1.279878	0.503905	0.924594
1.020000	0.779533	1.282934	0.513149	0.924084
1.030000	0.792377	1.285860	0.522383	0.922601
1.040000	0.805250	1.288658	0.531598	0.920190
1.050000	0.818150	1.291323	0.540784	0.916906
1.060000	0.831076	1.293842	0.549934	0.912813
1.070000	0.844026	1.296197	0.559038	0.907984
1.080000	0.856999	1.298369	0.568091	0.902498
1.090000	0.869993	1.300342	0.577086	0.896442
1.100000	0.883005	1.302102	0.586018	0.889906
1.110000	0.896034	1.303646	0.594883	0.882985
1.120000	0.909078	1.304976	0.603677	0.875777
1.130000	0.922133	1.306104	0.612398	0.868380
1.140000	0.935199	1.307049	0.621044	0.860892
1.150000	0.948274	1.307839	0.629616	0.853412
1.160000	0.961355	1.308498	0.638113	0.846036
1.170000	0.974443	1.309049	0.646537	0.838860
1.180000	0.987536	1.309510	0.654891	0.831971
1.190000	1.000633	1.309890	0.663178	0.825458
1.200000	1.013734	1.310183	0.671402	0.819399
1.210000	1.026836	1.310374	0.679568	0.813869
1.220000	1.039941	1.310436	0.687681	0.808934
1.230000	1.053045	1.310321	0.695748	0.804650
1.240000	1.066146	1.309978	0.703776	0.801066
1.250000	1.079243	1.309356	0.711772	0.798219
1.260000	1.092332	1.308402	0.719743	0.796134
1.270000	1.105410	1.307062	0.727697	0.794825
1.280000	1.118472	1.305297	0.735642	0.794292
1.290000	1.131514	1.303081	0.743586	0.794524
1.300000	1.144532	1.300400	0.751535	0.795494
1.310000	1.157521	1.297256	0.759498	0.797166
1.320000	1.170476	1.293661	0.767481	0.799489
1.330000	1.183393	1.289639	0.775490	0.802405
1.340000	1.196267	1.285225	0.783531	0.805840
1.350000	1.209096	1.280460	0.791608	0.809714
1.360000	1.221875	1.275377	0.799726	0.813941
1.370000	1.234603	1.270005	0.807888	0.818425
1.380000	1.247275	1.264366	0.816095	0.823068
1.390000	1.259889	1.258476	0.824349	0.827767
1.400000	1.272443	1.252339	0.832650	0.832417
1.410000	1.284935	1.245949	0.840997	0.836912
1.420000	1.297361	1.239297	0.849388	0.841147
1.430000	1.309720	1.232367	0.857819	0.845017
1.440000	1.322008	1.225141	0.866286	0.848420
1.450000	1.334222	1.217603	0.874785	0.851260
1.460000	1.346359	1.209740	0.883310	0.853442
1.470000	1.358416	1.201548	0.891852	0.854879
1.480000	1.370389	1.193029	0.900404	0.855491
1.490000	1.382275	1.184193	0.908959	0.855204
1.500000	1.394072	1.175056	0.917505	0.853955
1.510000	1.405775	1.165637	0.926034	0.851689
1.520000	1.417383	1.155965	0.934535	0.848361
1.530000	1.428894	1.146063	0.942998	0.843939
1.540000	1.440304	1.135954	0.951411	0.838401
1.550000	1.451612	1.125658	0.959762	0.831737
1.560000	1.462817	1.115188	0.968042	0.823952
1.570000	1.473915	1.104550	0.976238	0.815059
1.580000	1.484907	1.093746	0.984339	0.805085
1.590000	1.495790	1.082773	0.992336	0.794070
1.600000	1.506562	1.071624	1.000217	0.782064
1.610000	1.517222	1.060287	1.007974	0.769127
1.620000	1.527767	1.048752	1.015597	0.755328
1.630000	1.538196	1.037013	1.023078	0.740746
1.640000	1.548507	1.025064	1.030409	0.725467
1.650000	1.558697	1.012906	1.037585	0.709583
1.660000	1.568764	1.000543	1.044599	0.693193
1.670000	1.578707	0.987981	1.051448	0.676397
1.680000	1.588523	0.975235	1.058126	0.659301
1.690000	1.598211	0.962319	1.064633	0.642010
1.700000	1.607769	0.949249	1.070966	0.624632
1.710000	1.617195	0.936036	1.077126	0.607274
1.720000	1.626489	0.922694	1.083112	0.590040
1.730000	1.635649	0.909230	1.088927	0.573033
1.740000	1.644673	0.895649	1.094574	0.556349
1.750000	1.653561	0.881951	1.100056	0.540081
1.760000	1.662312	0.868133	1.105377	0.524316
1.770000	1.670924	0.854189	1.110544	0.509132
1.780000	1.679395	0.840110	1.115562	0.494599
1.790000	1.687725	0.825890	1.120438	0.480778
1.800000	1.695913	0.811523	1.125180	0.467720
1.810000	1.703955	0.797003	1.129795	0.455466
1.820000	1.711852	0.782330	1.134292	0.444044
1.830000	1.719601	0.767501	1.138679	0.433473
1.840000	1.727202	0.752518	1.142964	0.423757
1.850000	1.734651	0.737386	1.147157	0.414893
1.860000	1.741949	0.722106	1.151265	0.406862
1.870000	1.749093	0.706681	1.155297	0.399637
1.880000	1.756082	0.691112	1.159260	0.393178
1.890000	1.762915	0.675397	1.163163	0.387436
1.900000	1.769590	0.659531	1.167011	0.382352
1.910000	1.776105	0.643511	1.170812	0.377858
1.920000	1.782459	0.627330	1.174570	0.373878
1.930000	1.788651	0.610980	1.178291	0.370329
1.940000	1.794678	0.594457	1.181978	0.367120
1.950000	1.800539	0.577755	1.185634	0.364158
1.960000	1.806233	0.560874	1.189262	0.361344
1.970000	1.811756	0.543816	1.192861	0.358575
1.980000	1.817108	0.526590	1.196433	0.355749
1.990000	1.822288	0.509208	1.199976	0.352763
2.000000	1.827292	0.491683	1.203487	0.349514
2.010000	1.832121	0.474034	1.206965	0.345903
2.020000	1.836772	0.456277	1.210404	0.341834
2.030000	1.841246	0.438430	1.213800	0.337217
2.040000	1.845541	0.420510	1.217146	0.331968
2.050000	1.849656	0.402528	1.220437	0.326008
2.060000	1.853591	0.384492	1.223664	0.319272
2.070000	1.857346	0.366407	1.226819	0.311698
2.080000	1.860919	0.348271	1.229895	0.303239
2.090000	1.864311	0.330079	1.232881	0.293856
2.100000	1.867521	0.311824	1.235769	0.283521
2.110000	1.870547	0.293499	1.238548	0.272218
2.120000	1.873390	0.275095	1.241210	0.259942
2.130000	1.876049	0.256607	1.243744	0.246698
2.140000	1.878522	0.238030	1.246141	0.232505
2.150000	1.880809	0.219365	1.248391	0.217389
2.160000	1.882909	0.200615	1.250485	0.201388
2.170000	1.884821	0.181788	1.252416	0.184551
2.180000	1.886545	0.162895	1.254174	0.166936
2.190000	1.888079	0.143947	1.255752	0.148607
2.200000	1.889423	0.124960	1.257144	0.129640
2.210000	1.890578	0.105946	1.258343	0.110116
2.220000	1.891542	0.086914	1.259345	0.090121
2.230000	1.892316	0.067877	1.260144	0.069750
2.240000	1.892900	0.048839	1.260739	0.049099
2.250000	1.893293	0.029806	1.261126	0.028267
2.260000	1.893496	0.010781	1.261304	0.007357
2.270000	1.893509	-0.008239	1.261273	-0.013529
2.280000	1.893331	-0.027256	1.261034	-0.034289
2.290000	1.892964	-0.046272	1.260588	-0.054824
2.300000	1.892406	-0.065291	1.259938	-0.075037
2.310000	1.891658	-0.084317	1.259088	-0.094836
2.320000	1.890719	-0.103353	1.258043	-0.114133
2.330000	1.889591	-0.122401	1.256808	-0.132850
2.340000	1.888271	-0.141466	1.255388	-0.150912
2.350000	1.886761	-0.160548	1.253792	-0.168256
2.360000	1.885060	-0.179650	1.252026	-0.184826
2.370000	1.883168	-0.198776	1.250098	-0.200576
2.380000	1.881085	-0.217929	1.248017	-0.215473
2.390000	1.878810	-0.237111	1.245791	-0.229490
2.400000	1.876342	-0.256325	1.243430	-0.242615
2.410000	1.873683	-0.275572	1.240942	-0.254845
2.420000	1.870831	-0.294852	1.238336	-0.266190
2.430000	1.867786	-0.314160	1.235621	-0.276669
2.440000	1.864548	-0.333484	1.232806	-0.286312
2.450000	1.861116	-0.352811	1.229898	-0.295160
2.460000	1.857491	-0.372121	1.226905	-0.303263
2.470000	1.853674	-0.391387	1.223835	-0.310680
2.480000	1.849664	-0.410573	1.220693	-0.317476
2.490000	1.845463	-0.429645	1.217487	-0.323724
2.500000	1.841072	-0.448567	1.214220	-0.329503
2.510000	1.836492	-0.467300	1.210898	-0.334895
2.520000	1.831726	-0.485810	1.207524	-0.339984
2.530000	1.826777	-0.504069	1.204099	-0.344857
2.540000	1.821646	-0.522056	1.200627	-0.349599
2.550000	1.816336	-0.539760	1.197107	-0.354298
2.560000	1.810852	-0.557177	1.193541	-0.359036
2.570000	1.805194	-0.574317	1.189926	-0.363892
2.580000	1.799366	-0.591201	1.186262	-0.368945
2.590000	1.793371	-0.607858	1.182547	-0.374266
2.600000	1.787210	-0.624323	1.178776	-0.379920
2.610000	1.780885	-0.640630	1.174947	-0.385969
2.620000	1.774397	-0.656812	1.171055	-0.392468
2.630000	1.767749	-0.672902	1.167096	-0.399463
2.640000	1.760940	-0.688927	1.163064	-0.406997
2.650000	1.753970	-0.704901	1.158954	-0.415104
2.660000	1.746842	-0.720828	1.154760	-0.423809
2.670000	1.739554	-0.736704	1.150476	-0.433132
2.680000	1.732108	-0.752512	1.146095	-0.443083
2.690000	1.724504	-0.768232	1.141612	-0.453665
2.700000	1.716744	-0.783840	1.137020	-0.464872
2.710000	1.708828	-0.799308	1.132313	-0.476688
2.720000	1.700758	-0.814610	1.127484	-0.489092
2.730000	1.692536	-0.829724	1.122529	-0.502052
2.740000	1.684164	-0.844629	1.117441	-0.515527
2.750000	1.675644	-0.859316	1.112217	-0.529471
2.760000	1.666979	-0.873783	1.106851	-0.543829
2.770000	1.658169	-0.888036	1.101339	-0.558539
2.780000	1.649219	-0.902084	1.095679	-0.573535
2.790000	1.640128	-0.915938	1.089868	-0.588745
2.800000	1.630900	-0.929617	1.083903	-0.604093
2.810000	1.621537	-0.943138	1.077785	-0.619501
2.820000	1.612038	-0.956516	1.071513	-0.634890
2.830000	1.602407	-0.969762	1.065088	-0.650178
2.840000	1.592643	-0.982880	1.058510	-0.665286
2.850000	1.582749	-0.995871	1.051783	-0.680137
2.860000	1.572726	-1.008730	1.044909	-0.694652
2.870000	1.562575	-1.021447	1.037891	-0.708761
