Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000057	0.011440	0.000000	0.000033
0.020000	0.000229	0.022905	0.000001	0.000192
0.030000	0.000515	0.034391	0.000005	0.000566
0.040000	0.000917	0.045894	0.000013	0.001242
0.050000	0.001433	0.057406	0.000031	0.002301
0.060000	0.002065	0.068924	0.000061	0.003821
0.070000	0.002812	0.080443	0.000109	0.005874
0.080000	0.003674	0.091961	0.000180	0.008523
0.090000	0.004651	0.103480	0.000282	0.011827
0.100000	0.005743	0.115000	0.000419	0.015835
0.110000	0.006951	0.126525	0.000601	0.020586
0.120000	0.008274	0.138058	0.000834	0.026112
0.130000	0.009712	0.149605	0.001126	0.032434
0.140000	0.011266	0.161164	0.001485	0.039566
0.150000	0.012935	0.172732	0.001920	0.047508
0.160000	0.014721	0.184303	0.002438	0.056254
0.170000	0.016621	0.195860	0.003047	0.065786
0.180000	0.018638	0.207388	0.003756	0.076078
0.190000	0.020769	0.218863	0.004571	0.087093
0.200000	0.023015	0.230262	0.005500	0.098786
0.210000	0.025374	0.241562	0.006549	0.111103
0.220000	0.027846	0.252740	0.007724	0.123981
0.230000	0.030428	0.263781	0.009030	0.137351
0.240000	0.033121	0.274671	0.010473	0.151136
0.250000	0.035921	0.285410	0.012054	0.165254
0.260000	0.038828	0.296005	0.013778	0.179617
0.270000	0.041841	0.306469	0.015647	0.194133
0.280000	0.044957	0.316828	0.017661	0.208709
0.290000	0.048177	0.327114	0.019821	0.223251
0.300000	0.051500	0.337355	0.022126	0.237663
0.310000	0.054924	0.347597	0.024574	0.251854
0.320000	0.058452	0.357874	0.027162	0.265733
0.330000	0.062082	0.368215	0.029887	0.279216
0.340000	0.065816	0.378653	0.032745	0.292223
0.350000	0.069655	0.389210	0.035730	0.304682
0.360000	0.073601	0.399896	0.038836	0.316529
0.370000	0.077654	0.410718	0.042058	0.327709
0.380000	0.081816	0.421672	0.045388	0.338174
0.390000	0.086088	0.432747	0.048819	0.347889
0.400000	0.090471	0.443926	0.052343	0.356827
0.410000	0.094967	0.455187	0.055953	0.364973
0.420000	0.099575	0.466508	0.059640	0.372321
0.430000	0.104297	0.477861	0.063397	0.378876
0.440000	0.109132	0.489219	0.067215	0.384652
0.450000	0.114081	0.500558	0.071087	0.389672
0.460000	0.119143	0.511845	0.075006	0.393969
0.470000	0.124318	0.523053	0.078964	0.397584
0.480000	0.129604	0.534156	0.082956	0.400564
0.490000	0.135000	0.545123	0.086974	0.402965
0.500000	0.140506	0.555927	0.091013	0.404845
0.510000	0.146118	0.566539	0.095069	0.406271
0.520000	0.151836	0.576926	0.099137	0.407311
0.530000	0.157656	0.587063	0.103214	0.408035
0.540000	0.163576	0.596928	0.107297	0.408517
0.550000	0.169594	0.606502	0.111384	0.408828
0.560000	0.175705	0.615773	0.115473	0.409043
0.570000	0.181908	0.624740	0.119565	0.409230
0.580000	0.188199	0.633408	0.123658	0.409459
0.590000	0.194575	0.641792	0.127754	0.409794
0.600000	0.201034	0.649913	0.131855	0.410298
0.610000	0.207573	0.657811	0.135961	0.411028
0.620000	0.214190	0.665522	0.140076	0.412035
0.630000	0.220883	0.673084	0.144203	0.413368
0.640000	0.227651	0.680535	0.148345	0.415069
0.650000	0.234493	0.687907	0.152506	0.417175
0.660000	0.241409	0.695231	0.156690	0.419717
0.670000	0.248398	0.702527	0.160901	0.422721
0.680000	0.255459	0.709804	0.165146	0.426207
0.690000	0.262594	0.717063	0.169427	0.430189
0.700000	0.269800	0.724288	0.173751	0.434673
0.710000	0.277079	0.731459	0.178122	0.439661
0.720000	0.284429	0.738551	0.182546	0.445147
0.730000	0.291850	0.745534	0.187027	0.451119
0.740000	0.299340	0.752374	0.191570	0.457557
0.750000	0.306897	0.759047	0.196179	0.464436
0.760000	0.314520	0.765529	0.200860	0.471723
0.770000	0.322207	0.771807	0.205615	0.479379
0.780000	0.329955	0.777875	0.210449	0.487359
0.790000	0.337764	0.783736	0.215363	0.495612
0.800000	0.345629	0.789403	0.220362	0.504083
0.810000	0.353551	0.794890	0.225445	0.512713
0.820000	0.361527	0.800214	0.230616	0.521441
0.830000	0.369555	0.805393	0.235874	0.530202
0.840000	0.377634	0.810439	0.241220	0.538929
0.850000	0.385763	0.815360	0.246653	0.547558
0.860000	0.393941	0.820159	0.252171	0.556023
0.870000	0.402166	0.824829	0.257772	0.564260
0.880000	0.410437	0.829357	0.263455	0.572206
0.890000	0.418753	0.833725	0.269215	0.579802
0.900000	0.427111	0.837916	0.275050	0.586991
0.910000	0.435510	0.841909	0.280954	0.593722
0.920000	0.443948	0.845686	0.286922	0.599945
0.930000	0.452423	0.849236	0.292951	0.605616
0.940000	0.460932	0.852555	0.299033	0.610696
0.950000	0.469473	0.855645	0.305163	0.615152
0.960000	0.478044	0.858516	0.311334	0.618957
0.970000	0.486643	0.861185	0.317539	0.622088
0.980000	0.495268	0.863675	0.323773	0.624532
0.990000	0.503916	0.866009	0.330028	0.626282
1.000000	0.512587	0.868213	0.336296	0.627336
1.010000	0.521280	0.870307	0.342572	0.627702
1.020000	0.529993	0.872307	0.348848	0.627396
1.030000	0.538726	0.874223	0.355118	0.626438
1.040000	0.547477	0.876058	0.361375	0.624860
1.050000	0.556247	0.877806	0.367613	0.622695
1.060000	0.565033	0.879458	0.373827	0.619988
1.070000	0.573836	0.881004	0.380011	0.616785
1.080000	0.582653	0.882427	0.386161	0.613139
1.090000	0.591484	0.883715	0.392273	0.609109
1.100000	0.600327	0.884859	0.398342	0.604754
