Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000054	0.010731	0.000000	0.000031
0.020000	0.000215	0.021487	0.000001	0.000180
0.030000	0.000483	0.032264	0.000004	0.000531
0.040000	0.000860	0.043058	0.000013	0.001165
0.050000	0.001345	0.053861	0.000029	0.002159
0.060000	0.001937	0.064671	0.000057	0.003585
0.070000	0.002638	0.075482	0.000102	0.005510
0.080000	0.003447	0.086294	0.000169	0.007997
0.090000	0.004364	0.097106	0.000264	0.011097
0.100000	0.005389	0.107922	0.000393	0.014857
0.110000	0.006522	0.118744	0.000564	0.019315
0.120000	0.007764	0.129577	0.000782	0.024501
0.130000	0.009114	0.140422	0.001056	0.030434
0.140000	0.010572	0.151282	0.001393	0.037127
0.150000	0.012140	0.162152	0.001801	0.044581
0.160000	0.013816	0.173026	0.002287	0.052789
0.170000	0.015600	0.183889	0.002859	0.061737
0.180000	0.017493	0.194725	0.003525	0.071397
0.190000	0.019494	0.205513	0.004290	0.081738
0.200000	0.021603	0.216229	0.005161	0.092715
0.210000	0.023819	0.226850	0.006146	0.104279
0.220000	0.026140	0.237357	0.007249	0.116371
0.230000	0.028565	0.247732	0.008475	0.128926
0.240000	0.031094	0.257964	0.009829	0.141871
0.250000	0.033724	0.268051	0.011313	0.155129
0.260000	0.036455	0.277999	0.012932	0.168618
0.270000	0.039284	0.287824	0.014686	0.182253
0.280000	0.042211	0.297550	0.016577	0.195945
0.290000	0.045235	0.307207	0.018605	0.209605
0.300000	0.048355	0.316824	0.020769	0.223144
0.310000	0.051571	0.326440	0.023067	0.236476
0.320000	0.054884	0.336090	0.025497	0.249515
0.330000	0.058293	0.345805	0.028056	0.262184
0.340000	0.061800	0.355615	0.030740	0.274405
0.350000	0.065406	0.365539	0.033543	0.286113
0.360000	0.069111	0.375590	0.036460	0.297246
0.370000	0.072918	0.385773	0.039486	0.307753
0.380000	0.076827	0.396084	0.042613	0.317589
0.390000	0.080840	0.406513	0.045835	0.326722
0.400000	0.084958	0.417044	0.049145	0.335126
0.410000	0.089181	0.427658	0.052535	0.342787
0.420000	0.093511	0.438330	0.055998	0.349700
0.430000	0.097948	0.449035	0.059527	0.355869
0.440000	0.102492	0.459744	0.063113	0.361308
0.450000	0.107143	0.470431	0.066750	0.366039
0.460000	0.111900	0.481072	0.070432	0.370093
0.470000	0.116764	0.491641	0.074150	0.373507
0.480000	0.121733	0.502110	0.077900	0.376328
0.490000	0.126806	0.512452	0.081675	0.378606
0.500000	0.131981	0.522638	0.085470	0.380398
0.510000	0.137258	0.532639	0.089281	0.381765
0.520000	0.142633	0.542428	0.093104	0.382772
0.530000	0.148106	0.551979	0.096936	0.383484
0.540000	0.153672	0.561267	0.100773	0.383969
0.550000	0.159330	0.570275	0.104615	0.384297
0.560000	0.165077	0.578993	0.108459	0.384534
0.570000	0.170909	0.587419	0.112305	0.384746
