Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000065	0.013002	0.000000	0.000037
0.020000	0.000260	0.026031	0.000001	0.000218
0.030000	0.000586	0.039083	0.000005	0.000643
0.040000	0.001042	0.052151	0.000015	0.001411
0.050000	0.001629	0.065229	0.000035	0.002615
0.060000	0.002346	0.078312	0.000069	0.004342
0.070000	0.003195	0.091393	0.000124	0.006674
0.080000	0.004174	0.104472	0.000205	0.009685
0.090000	0.005284	0.117548	0.000320	0.013439
0.100000	0.006525	0.130623	0.000476	0.017992
0.110000	0.007897	0.143701	0.000683	0.023390
0.120000	0.009399	0.156787	0.000947	0.029667
0.130000	0.011033	0.169882	0.001279	0.036849
0.140000	0.012797	0.182987	0.001687	0.044949
0.150000	0.014692	0.196099	0.002181	0.053969
0.160000	0.016719	0.209207	0.002770	0.063902
0.170000	0.018876	0.222299	0.003462	0.074726
0.180000	0.021165	0.235356	0.004267	0.086411
0.190000	0.023583	0.248354	0.005193	0.098916
0.200000	0.026132	0.261270	0.006248	0.112189
0.210000	0.028808	0.274071	0.007439	0.126169
0.220000	0.031613	0.286736	0.008773	0.140785
0.230000	0.034543	0.299248	0.010257	0.155956
0.240000	0.037597	0.311595	0.011894	0.171597
0.250000	0.040774	0.323773	0.013690	0.187613
0.260000	0.044072	0.335792	0.015647	0.203906
0.270000	0.047489	0.347669	0.017769	0.220371
0.280000	0.051025	0.359427	0.020055	0.236902
0.290000	0.054678	0.371102	0.022507	0.253393
0.300000	0.058447	0.382733	0.025122	0.269735
0.310000	0.062332	0.394355	0.027900	0.285825
0.320000	0.066334	0.406012	0.030838	0.301560
0.330000	0.070453	0.417743	0.033930	0.316845
0.340000	0.074689	0.429572	0.037173	0.331589
0.350000	0.079045	0.441526	0.040560	0.345711
0.360000	0.083520	0.453620	0.044085	0.359137
0.370000	0.088117	0.465858	0.047740	0.371805
0.380000	0.092838	0.478237	0.051518	0.383661
0.390000	0.097683	0.490744	0.055410	0.394665
0.400000	0.102653	0.503361	0.059408	0.404787
0.410000	0.107750	0.516063	0.063503	0.414007
0.420000	0.112975	0.528827	0.067686	0.422320
0.430000	0.118327	0.541623	0.071947	0.429731
0.440000	0.123807	0.554425	0.076277	0.436254
0.450000	0.129415	0.567199	0.080669	0.441917
0.460000	0.135151	0.579915	0.085113	0.446757
0.470000	0.141013	0.592545	0.089601	0.450818
0.480000	0.147001	0.605057	0.094127	0.454155
0.490000	0.153114	0.617419	0.098682	0.456831
0.500000	0.159349	0.629603	0.103261	0.458912
0.510000	0.165705	0.641573	0.107859	0.460474
0.520000	0.172180	0.653298	0.112469	0.461594
0.530000	0.178770	0.664748	0.117089	0.462352
0.540000	0.185474	0.675898	0.121715	0.462831
0.550000	0.192287	0.686728	0.126345	0.463116
0.560000	0.199207	0.697225	0.130977	0.463287
0.570000	0.206230	0.707387	0.135611	0.463427
0.580000	0.213354	0.717221	0.140246	0.463613
0.590000	0.220574	0.726742	0.144884	0.463921
0.600000	0.227888	0.735976	0.149525	0.464422
0.610000	0.235293	0.744958	0.154173	0.465180
0.620000	0.242786	0.753727	0.158830	0.466257
0.630000	0.250366	0.762323	0.163499	0.467709
0.640000	0.258032	0.770793	0.168185	0.469583
0.650000	0.265782	0.779175	0.172893	0.471922
0.660000	0.273615	0.787498	0.177626	0.474764
0.670000	0.281532	0.795783	0.182390	0.478137
0.680000	0.289531	0.804040	0.187190	0.482064
0.690000	0.297613	0.812267	0.192033	0.486561
0.700000	0.305776	0.820449	0.196923	0.491637
0.710000	0.314021	0.828565	0.201867	0.497293
0.720000	0.322347	0.836589	0.206871	0.503521
0.730000	0.330753	0.844486	0.211940	0.510309
0.740000	0.339236	0.852221	0.217079	0.517633
0.750000	0.347796	0.859765	0.222294	0.525464
0.760000	0.356431	0.867094	0.227590	0.533764
0.770000	0.365138	0.874195	0.232971	0.542488
0.780000	0.373914	0.881061	0.238441	0.551585
0.790000	0.382758	0.887697	0.244003	0.560996
0.800000	0.391667	0.894113	0.249662	0.570658
0.810000	0.400640	0.900326	0.255417	0.580505
0.820000	0.409673	0.906357	0.261272	0.590463
0.830000	0.418766	0.912223	0.267227	0.600460
0.840000	0.427917	0.917937	0.273281	0.610420
0.850000	0.437125	0.923510	0.279435	0.620268
0.860000	0.446387	0.928943	0.285686	0.629929
0.870000	0.455703	0.934227	0.292032	0.639330
0.880000	0.465071	0.939352	0.298471	0.648398
