Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000051	0.010144	0.000000	0.000029
0.020000	0.000203	0.020313	0.000001	0.000170
0.030000	0.000457	0.030502	0.000004	0.000502
0.040000	0.000813	0.040707	0.000012	0.001101
0.050000	0.001271	0.050923	0.000027	0.002041
0.060000	0.001832	0.061146	0.000054	0.003389
0.070000	0.002494	0.071371	0.000097	0.005210
0.080000	0.003259	0.081597	0.000160	0.007560
0.090000	0.004126	0.091826	0.000250	0.010491
0.100000	0.005096	0.102058	0.000372	0.014047
0.110000	0.006167	0.112298	0.000533	0.018262
0.120000	0.007342	0.122549	0.000739	0.023166
0.130000	0.008618	0.132815	0.000999	0.028777
0.140000	0.009998	0.143095	0.001317	0.035106
0.150000	0.011480	0.153387	0.001703	0.042155
0.160000	0.013066	0.163683	0.002163	0.049919
0.170000	0.014754	0.173971	0.002704	0.058381
0.180000	0.016545	0.184233	0.003333	0.067519
0.190000	0.018438	0.194451	0.004056	0.077300
0.200000	0.020434	0.204602	0.004881	0.087685
0.210000	0.022530	0.214662	0.005812	0.098625
0.220000	0.024727	0.224612	0.006855	0.110066
0.230000	0.027022	0.234435	0.008015	0.121944
0.240000	0.029415	0.244121	0.009295	0.134194
0.250000	0.031904	0.253668	0.010700	0.146740
0.260000	0.034488	0.263080	0.012231	0.159506
0.270000	0.037165	0.272375	0.013890	0.172410
0.280000	0.039935	0.281576	0.015679	0.185369
0.290000	0.042796	0.290708	0.017597	0.198299
0.300000	0.045749	0.299806	0.019645	0.211115
0.310000	0.048793	0.308904	0.021819	0.223735
0.320000	0.051927	0.318037	0.024118	0.236079
0.330000	0.055153	0.327234	0.026539	0.248071
0.340000	0.058472	0.336523	0.029078	0.259642
0.350000	0.061884	0.345924	0.031731	0.270727
0.360000	0.065391	0.355449	0.034491	0.281269
0.370000	0.068994	0.365103	0.037354	0.291218
0.380000	0.072694	0.374882	0.040313	0.300533
0.390000	0.076492	0.384777	0.043363	0.309183
0.400000	0.080389	0.394772	0.046495	0.317144
0.410000	0.084387	0.404849	0.049703	0.324403
0.420000	0.088487	0.414984	0.052980	0.330955
0.430000	0.092687	0.425151	0.056320	0.336805
0.440000	0.096990	0.435323	0.059714	0.341964
0.450000	0.101394	0.445475	0.063157	0.346455
0.460000	0.105899	0.455584	0.066641	0.350307
0.470000	0.110505	0.465624	0.070161	0.353556
0.480000	0.115211	0.475569	0.073710	0.356245
0.490000	0.120016	0.485393	0.077284	0.358422
0.500000	0.124918	0.495066	0.080877	0.360142
0.510000	0.129917	0.504562	0.084486	0.361461
