Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000130	0.026068	0.000000	0.000075
0.020000	0.000522	0.052181	0.000002	0.000437
0.030000	0.001174	0.078327	0.000011	0.001290
0.040000	0.002088	0.104494	0.000031	0.002829
0.050000	0.003264	0.130671	0.000070	0.005241
0.060000	0.004702	0.156844	0.000139	0.008702
0.070000	0.006401	0.183004	0.000248	0.013374
0.080000	0.008362	0.209146	0.000411	0.019405
0.090000	0.010584	0.235270	0.000641	0.026923
0.100000	0.013067	0.261378	0.000955	0.036040
0.110000	0.015811	0.287473	0.001368	0.046846
0.120000	0.018816	0.313562	0.001897	0.059412
0.130000	0.022082	0.339650	0.002562	0.073785
0.140000	0.025609	0.365735	0.003379	0.089992
0.150000	0.029397	0.391810	0.004368	0.108036
0.160000	0.033445	0.417862	0.005546	0.127899
0.170000	0.037754	0.443864	0.006932	0.149540
0.180000	0.042322	0.469780	0.008543	0.172895
0.190000	0.047149	0.495572	0.010395	0.197882
0.200000	0.052233	0.521197	0.012505	0.224394
0.210000	0.057573	0.546607	0.014888	0.252308
0.220000	0.063165	0.571768	0.017556	0.281482
0.230000	0.069007	0.596647	0.020521	0.311755
0.240000	0.075097	0.621220	0.023794	0.342953
0.250000	0.081430	0.645484	0.027383	0.374889
0.260000	0.088005	0.669453	0.031293	0.407366
0.270000	0.094819	0.693160	0.035531	0.440176
0.280000	0.101868	0.716650	0.040097	0.473109
0.290000	0.109151	0.739982	0.044993	0.505952
0.300000	0.116667	0.763215	0.050215	0.538491
0.310000	0.124415	0.786425	0.055761	0.570520
0.320000	0.132396	0.809681	0.061623	0.601835
0.330000	0.140609	0.833036	0.067795	0.632247
0.340000	0.149057	0.856551	0.074265	0.661576
0.350000	0.157741	0.880267	0.081022	0.689658
0.360000	0.166663	0.904205	0.088053	0.716350
0.370000	0.175826	0.928376	0.095344	0.741523
0.380000	0.185231	0.952775	0.102878	0.765071
0.390000	0.194882	0.977378	0.110640	0.786912
0.400000	0.204779	1.002155	0.118611	0.806984
0.410000	0.214925	1.027069	0.126773	0.825248
0.420000	0.225321	1.052074	0.135110	0.841690
0.430000	0.235967	1.077117	0.143601	0.856317
0.440000	0.246863	1.102149	0.152230	0.869158
0.450000	0.258010	1.127120	0.160978	0.880265
0.460000	0.269405	1.151974	0.169830	0.889708
0.470000	0.281049	1.176661	0.178767	0.897578
0.480000	0.292938	1.201129	0.187776	0.903982
0.490000	0.305070	1.225321	0.196843	0.909042
0.500000	0.317443	1.249179	0.205953	0.912895
0.510000	0.330053	1.272649	0.215097	0.915687
0.520000	0.342895	1.295676	0.224264	0.917575
0.530000	0.355965	1.318207	0.233446	0.918722
0.540000	0.369257	1.340195	0.242636	0.919294
0.550000	0.382767	1.361603	0.251830	0.919461
0.560000	0.396487	1.382411	0.261025	0.919392
0.570000	0.410413	1.402611	0.270218	0.919252
0.580000	0.424537	1.422211	0.279410	0.919201
0.590000	0.438855	1.441239	0.288603	0.919395
0.600000	0.453360	1.459738	0.297799	0.919981
0.610000	0.468048	1.477760	0.307004	0.921095
0.620000	0.482914	1.495375	0.316223	0.922864
0.630000	0.497955	1.512659	0.325464	0.925404
0.640000	0.513166	1.529677	0.334734	0.928817
0.650000	0.528547	1.546497	0.344044	0.933193
0.660000	0.544096	1.563170	0.353402	0.938608
0.670000	0.559811	1.579732	0.362819	0.945126
0.680000	0.575690	1.596199	0.372308	0.952795
0.690000	0.591734	1.612568	0.381879	0.961647
0.700000	0.607941	1.628814	0.391545	0.971700
0.710000	0.624310	1.644896	0.401317	0.982957
0.720000	0.640838	1.660766	0.411208	0.995403
0.730000	0.657524	1.676369	0.421229	1.009009
0.740000	0.674365	1.691647	0.431392	1.023727
0.750000	0.691356	1.706548	0.441707	1.039496
0.760000	0.708494	1.721031	0.452185	1.056238
0.770000	0.725775	1.735073	0.462835	1.073859
0.780000	0.743194	1.748663	0.473665	1.092252
0.790000	0.760747	1.761811	0.484682	1.111299
0.800000	0.778429	1.774537	0.495893	1.130868
0.810000	0.796236	1.786866	0.507301	1.150820
0.820000	0.814165	1.798834	0.518910	1.171010
0.830000	0.832212	1.810474	0.530721	1.191286
0.840000	0.850374	1.821811	0.542735	1.211491
0.850000	0.868647	1.832861	0.554950	1.231472
0.860000	0.887030	1.843629	0.567364	1.251075
0.870000	0.905519	1.854103	0.579970	1.270148
0.880000	0.924111	1.864258	0.592764	1.288544
0.890000	0.942803	1.874064	0.605738	1.306122
0.900000	0.961591	1.883493	0.618884	1.322751
0.910000	0.980471	1.892504	0.632190	1.338306
0.920000	0.999440	1.901066	0.645646	1.352673
0.930000	1.018491	1.909157	0.659239	1.365749
0.940000	1.037621	1.916768	0.672956	1.377445
0.950000	1.056825	1.923907	0.686783	1.387684
0.960000	1.076098	1.930594	0.700705	1.396402
0.970000	1.095435	1.936860	0.714706	1.403552
0.980000	1.114834	1.942743	0.728770	1.409102
0.990000	1.134289	1.948287	0.742883	1.413039
1.000000	1.153798	1.953538	0.757026	1.415363
1.010000	1.173359	1.958535	0.771184	1.416094
1.020000	1.192968	1.963308	0.785342	1.415269
1.030000	1.212624	1.967878	0.799485	1.412943
1.040000	1.232325	1.972246	0.813597	1.409185
1.050000	1.252069	1.976405	0.827664	1.404080
1.060000	1.271853	1.980338	0.841674	1.397728
1.070000	1.291675	1.984015	0.855615	1.390243
1.080000	1.311532	1.987406	0.869476	1.381748
1.090000	1.331422	1.990490	0.883247	1.372378
1.100000	1.351341	1.993251	0.896921	1.362272
1.110000	1.371286	1.995681	0.910490	1.351578
1.120000	1.391253	1.997781	0.923951	1.340444
1.130000	1.411240	1.999569	0.937298	1.329026
1.140000	1.431244	2.001076	0.950531	1.317475
1.150000	1.451261	2.002335	0.963648	1.305943
1.160000	1.471290	2.003378	0.976650	1.294580
1.170000	1.491328	2.004242	0.989540	1.283529
1.180000	1.511374	2.004950	1.002322	1.272931
1.190000	1.531426	2.005515	1.015001	1.262918
1.200000	1.551484	2.005930	1.027583	1.253612
1.210000	1.571544	2.006171	1.040076	1.245126
1.220000	1.591606	2.006193	1.052489	1.237562
1.230000	1.611667	2.005938	1.064831	1.231006
1.240000	1.631724	2.005335	1.077112	1.225530
1.250000	1.651773	2.004306	1.089345	1.221191
1.260000	1.671808	2.002769	1.101540	1.218027
1.270000	1.691826	2.000655	1.113709	1.216058
1.280000	1.711819	1.997907	1.125865	1.215283
1.290000	1.731782	1.994486	1.138019	1.215683
1.300000	1.751707	1.990374	1.150183	1.217219
1.310000	1.771587	1.985571	1.162367	1.219833
1.320000	1.791416	1.980100	1.174583	1.223449
1.330000	1.811187	1.973998	1.186839	1.227972
1.340000	1.830894	1.967313	1.199145	1.233294
1.350000	1.850532	1.960099	1.211507	1.239291
1.360000	1.870094	1.952402	1.223932	1.245830
1.370000	1.889578	1.944264	1.236425	1.252766
1.380000	1.908978	1.935721	1.248988	1.259947
1.390000	1.928291	1.926796	1.261624	1.267215
