V_avg	CT_avg	xt_mean	xt_std	xb_mean	xb_std
3.999999	0.923000	0.201256	0.085566	0.132234	0.057004
5.000000	0.919000	0.313109	0.138052	0.205726	0.091973
5.999999	0.904000	0.443510	0.201864	0.291405	0.134489
7.000000	0.858000	0.572923	0.268298	0.376435	0.178753
8.000000	0.814000	0.709891	0.340949	0.466430	0.227161
8.999999	0.814000	0.898395	0.441467	0.590284	0.294138
10.000001	0.814000	1.109050	0.556467	0.728694	0.370765
11.000000	0.814000	1.341852	0.686502	0.881656	0.457413
12.000000	0.577000	1.131882	0.589457	0.743696	0.392757
12.999999	0.419000	0.964565	0.510791	0.633762	0.340347
14.000002	0.323000	0.862298	0.463783	0.566568	0.309028
15.000000	0.259000	0.793689	0.433127	0.521489	0.288605
16.000000	0.211000	0.735632	0.407041	0.483342	0.271226
16.999998	0.175000	0.688723	0.386068	0.452521	0.257254
18.000001	0.148000	0.652959	0.370550	0.429023	0.246915
19.000000	0.126000	0.619340	0.355653	0.406934	0.236991
20.000000	0.109000	0.593622	0.344692	0.390036	0.229689
21.000000	0.095000	0.570373	0.334694	0.374761	0.223028
22.000001	0.084000	0.553472	0.328098	0.363656	0.218635
22.999998	0.074000	0.532885	0.319031	0.350129	0.212594
24.000001	0.066000	0.517474	0.312696	0.340003	0.208375
25.000000	0.059000	0.501915	0.305994	0.329781	0.203910
