Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000050	0.010086	0.000000	0.000029
0.020000	0.000202	0.020180	0.000001	0.000169
0.030000	0.000454	0.030279	0.000004	0.000499
0.040000	0.000807	0.040377	0.000012	0.001094
0.050000	0.001262	0.050469	0.000027	0.002026
0.060000	0.001817	0.060550	0.000054	0.003364
0.070000	0.002473	0.070618	0.000096	0.005168
0.080000	0.003229	0.080668	0.000159	0.007497
0.090000	0.004086	0.090700	0.000248	0.010400
0.100000	0.005043	0.100711	0.000369	0.013918
0.110000	0.006100	0.110704	0.000528	0.018086
0.120000	0.007257	0.120678	0.000733	0.022931
0.130000	0.008513	0.130632	0.000989	0.028471
0.140000	0.009869	0.140567	0.001305	0.034715
0.150000	0.011325	0.150480	0.001686	0.041662
0.160000	0.012879	0.160367	0.002140	0.049306
0.170000	0.014532	0.170220	0.002674	0.057629
0.180000	0.016283	0.180032	0.003295	0.066606
0.190000	0.018132	0.189794	0.004008	0.076203
0.200000	0.020079	0.199492	0.004821	0.086379
0.210000	0.022122	0.209118	0.005738	0.097085
0.220000	0.024261	0.218660	0.006764	0.108265
0.230000	0.026495	0.228112	0.007905	0.119859
0.240000	0.028823	0.237469	0.009163	0.131798
0.250000	0.031244	0.246731	0.010541	0.144010
0.260000	0.033757	0.255902	0.012043	0.156420
0.270000	0.036362	0.264989	0.013670	0.168949
0.280000	0.039057	0.274005	0.015422	0.181518
0.290000	0.041842	0.282964	0.017300	0.194044
0.300000	0.044716	0.291883	0.019303	0.206447
0.310000	0.047679	0.300783	0.021429	0.218650
0.320000	0.050732	0.309678	0.023675	0.230574
0.330000	0.053873	0.318584	0.026039	0.242148
0.340000	0.057103	0.327517	0.028517	0.253304
0.350000	0.060423	0.336487	0.031103	0.263979
0.360000	0.063833	0.345499	0.033794	0.274118
0.370000	0.067333	0.354556	0.036584	0.283672
0.380000	0.070924	0.363655	0.039466	0.292599
0.390000	0.074607	0.372791	0.042434	0.300866
0.400000	0.078380	0.381957	0.045481	0.308450
0.410000	0.082246	0.391143	0.048600	0.315333
0.420000	0.086203	0.400338	0.051785	0.321509
0.430000	0.090253	0.409528	0.055028	0.326979
0.440000	0.094394	0.418700	0.058322	0.331752
0.450000	0.098627	0.427841	0.061661	0.335846
0.460000	0.102950	0.436937	0.065037	0.339288
0.470000	0.107365	0.445973	0.068445	0.342110
0.480000	0.111870	0.454937	0.071877	0.344354
0.490000	0.116464	0.463815	0.075330	0.346064
0.500000	0.121146	0.472590	0.078797	0.347293
0.510000	0.125915	0.481247	0.082274	0.348098
0.520000	0.130770	0.489770	0.085758	0.348540
0.530000	0.135710	0.498146	0.089244	0.348681
0.540000	0.140733	0.506361	0.092731	0.348588
0.550000	0.145836	0.514405	0.096215	0.348328
0.560000	0.151020	0.522270	0.099697	0.347967
0.570000	0.156281	0.529953	0.103175	0.347574
0.580000	0.161618	0.537454	0.106648	0.347214
0.590000	0.167030	0.544778	0.110119	0.346950
0.600000	0.172513	0.551935	0.113588	0.346842
0.610000	0.178068	0.558935	0.117057	0.346949
0.620000	0.183692	0.565794	0.120528	0.347322
0.630000	0.189383	0.572531	0.124004	0.348012
0.640000	0.195142	0.579161	0.127489	0.349060
0.650000	0.200966	0.585701	0.130987	0.350507
0.660000	0.206856	0.592161	0.134501	0.352385
0.670000	0.212809	0.598549	0.138036	0.354719
0.680000	0.218826	0.604868	0.141597	0.357531
0.690000	0.224906	0.611117	0.145188	0.360835
0.700000	0.231049	0.617290	0.148815	0.364638
0.710000	0.237252	0.623376	0.152483	0.368942
0.720000	0.243516	0.629361	0.156196	0.373739
0.730000	0.249839	0.635233	0.159959	0.379017
0.740000	0.256220	0.640977	0.163778	0.384757
0.750000	0.262658	0.646582	0.167656	0.390932
0.760000	0.269151	0.652035	0.171597	0.397510
0.770000	0.275698	0.657333	0.175607	0.404452
0.780000	0.282297	0.662472	0.179688	0.411715
0.790000	0.288947	0.667456	0.183842	0.419249
0.800000	0.295646	0.672291	0.188073	0.427002
0.810000	0.302392	0.676984	0.192383	0.434915
0.820000	0.309185	0.681543	0.196772	0.442930
0.830000	0.316023	0.685978	0.201242	0.450986
0.840000	0.322904	0.690297	0.205792	0.459018
0.850000	0.329828	0.694503	0.210422	0.466964
0.860000	0.336794	0.698599	0.215130	0.474760
0.870000	0.343800	0.702582	0.219916	0.482347
0.880000	0.350845	0.706449	0.224776	0.489662
0.890000	0.357929	0.710191	0.229708	0.496650
0.900000	0.365049	0.713802	0.234708	0.503256
0.910000	0.372204	0.717271	0.239772	0.509430
0.920000	0.379394	0.720592	0.244895	0.515127
0.930000	0.386615	0.723761	0.250073	0.520304
0.940000	0.393868	0.726775	0.255299	0.524927
0.950000	0.401150	0.729636	0.260569	0.528964
0.960000	0.408460	0.732350	0.265877	0.532393
0.970000	0.415797	0.734924	0.271215	0.535193
0.980000	0.423159	0.737368	0.276578	0.537356
0.990000	0.430544	0.739693	0.281960	0.538875
1.000000	0.437952	0.741910	0.287354	0.539754
1.010000	0.445382	0.744030	0.292753	0.540002
1.020000	0.452832	0.746058	0.298152	0.539634
1.030000	0.460303	0.747997	0.303544	0.538675
1.040000	0.467792	0.749850	0.308923	0.537152
1.050000	0.475299	0.751612	0.314285	0.535102
1.060000	0.482824	0.753278	0.319624	0.532565
1.070000	0.490365	0.754841	0.324935	0.529587
1.080000	0.497920	0.756294	0.330214	0.526218
1.090000	0.505490	0.757630	0.335458	0.522512
1.100000	0.513073	0.758842	0.340664	0.518525
1.110000	0.520666	0.759927	0.345828	0.514316
1.120000	0.528271	0.760885	0.350949	0.509946
1.130000	0.535884	0.761721	0.356027	0.505475
1.140000	0.543505	0.762440	0.361059	0.500964
1.150000	0.551132	0.763048	0.366046	0.496474
1.160000	0.558765	0.763554	0.370988	0.492063
1.170000	0.566403	0.763966	0.375888	0.487788
1.180000	0.574044	0.764289	0.380745	0.483704
1.190000	0.581688	0.764525	0.385562	0.479862
1.200000	0.589335	0.764672	0.390343	0.476309
1.210000	0.596982	0.764723	0.395090	0.473087
1.220000	0.604629	0.764666	0.399806	0.470235
1.230000	0.612274	0.764488	0.404496	0.467784
1.240000	0.619918	0.764170	0.409163	0.465762
1.250000	0.627557	0.763690	0.413812	0.464187
1.260000	0.635191	0.763029	0.418448	0.463073
1.270000	0.642817	0.762171	0.423076	0.462426
1.280000	0.650434	0.761102	0.427698	0.462243
1.290000	0.658039	0.759811	0.432322	0.462516
1.300000	0.665629	0.758294	0.436950	0.463229
1.310000	0.673204	0.756553	0.441588	0.464358
1.320000	0.680760	0.754593	0.446239	0.465875
1.330000	0.688295	0.752424	0.450907	0.467741
1.340000	0.695807	0.750058	0.455595	0.469915
1.350000	0.703295	0.747508	0.460306	0.472351
1.360000	0.710757	0.744789	0.465042	0.474996
1.370000	0.718191	0.741912	0.469806	0.477796
1.380000	0.725595	0.738889	0.474599	0.480693
1.390000	0.732968	0.735723	0.479420	0.483626
1.400000	0.740309	0.732418	0.484271	0.486534
1.410000	0.747616	0.728975	0.489151	0.489355
1.420000	0.754888	0.725390	0.494058	0.492028
1.430000	0.762123	0.721658	0.498990	0.494491
1.440000	0.769320	0.717775	0.503946	0.496685
1.450000	0.776478	0.713735	0.508923	0.498554
1.460000	0.783595	0.709536	0.513916	0.500043
1.470000	0.790668	0.705177	0.518922	0.501103
1.480000	0.797698	0.700659	0.523937	0.501685
1.490000	0.804681	0.695986	0.528954	0.501750
1.500000	0.811617	0.691166	0.533970	0.501260
1.510000	0.818504	0.686207	0.538978	0.500186
1.520000	0.825341	0.681118	0.543972	0.498502
1.530000	0.832126	0.675909	0.548946	0.496190
1.540000	0.838858	0.670589	0.553893	0.493240
1.550000	0.845537	0.665164	0.558808	0.489647
1.560000	0.852161	0.659641	0.563684	0.485413
1.570000	0.858730	0.654021	0.568514	0.480549
1.580000	0.865241	0.648307	0.573293	0.475070
1.590000	0.871696	0.642495	0.578014	0.469001
1.600000	0.878091	0.636583	0.582671	0.462370
1.610000	0.884427	0.630566	0.587260	0.455213
1.620000	0.890702	0.624442	0.591774	0.447569
1.630000	0.896915	0.618207	0.596209	0.439486
1.640000	0.903066	0.611859	0.600562	0.431013
1.650000	0.909152	0.605396	0.604829	0.422204
1.660000	0.915173	0.598820	0.609005	0.413114
1.670000	0.921128	0.592134	0.613090	0.403802
1.680000	0.927016	0.585342	0.617081	0.394329
1.690000	0.932835	0.578448	0.620976	0.384756
1.700000	0.938584	0.571457	0.624776	0.375143
1.710000	0.944264	0.564375	0.628479	0.365553
1.720000	0.949871	0.557204	0.632087	0.356043
1.730000	0.955407	0.549948	0.635601	0.346673
1.740000	0.960870	0.542607	0.639021	0.337497
1.750000	0.966259	0.535181	0.642351	0.328566
1.760000	0.971573	0.527668	0.645594	0.319929
1.770000	0.976812	0.520067	0.648751	0.311628
1.780000	0.981975	0.512373	0.651827	0.303703
1.790000	0.987059	0.504586	0.654826	0.296187
1.800000	0.992066	0.496702	0.657753	0.289105
1.810000	0.996993	0.488720	0.660610	0.282481
1.820000	1.001840	0.480640	0.663404	0.276327
1.830000	1.006606	0.472461	0.666138	0.270652
1.840000	1.011289	0.464185	0.668818	0.265458
1.850000	1.015889	0.455814	0.671449	0.260738
1.860000	1.020405	0.447349	0.674035	0.256483
1.870000	1.024836	0.438791	0.676580	0.252672
1.880000	1.029180	0.430143	0.679090	0.249283
1.890000	1.033438	0.421405	0.681567	0.246285
1.900000	1.037608	0.412577	0.684016	0.243643
1.910000	1.041689	0.403658	0.686441	0.241318
1.920000	1.045681	0.394646	0.688844	0.239265
1.930000	1.049582	0.385540	0.691227	0.237434
1.940000	1.053391	0.376340	0.693593	0.235776
1.950000	1.057108	0.367046	0.695943	0.234235
1.960000	1.060732	0.357658	0.698278	0.232756
1.970000	1.064261	0.348180	0.700598	0.231280
1.980000	1.067695	0.338615	0.702903	0.229751
1.990000	1.071033	0.328970	0.705193	0.228110
2.000000	1.074275	0.319251	0.707465	0.226300
2.010000	1.077418	0.309465	0.709718	0.224268
2.020000	1.080464	0.299621	0.711949	0.221959
2.030000	1.083410	0.289726	0.714156	0.219324
2.040000	1.086258	0.279787	0.716335	0.216319
2.050000	1.089006	0.269811	0.718481	0.212901
2.060000	1.091654	0.259800	0.720591	0.209034
2.070000	1.094202	0.249757	0.722660	0.204686
2.080000	1.096649	0.239684	0.724683	0.199833
2.090000	1.098996	0.229578	0.726655	0.194455
2.100000	1.101241	0.219438	0.728571	0.188539
2.110000	1.103384	0.209262	0.730424	0.182078
2.120000	1.105426	0.199046	0.732210	0.175070
2.130000	1.107365	0.188791	0.733924	0.167523
2.140000	1.109201	0.178494	0.735559	0.159448
2.150000	1.110935	0.168157	0.737111	0.150862
2.160000	1.112564	0.157780	0.738575	0.141790
2.170000	1.114090	0.147366	0.739945	0.132260
2.180000	1.115512	0.136919	0.741218	0.122308
2.190000	1.116828	0.126444	0.742390	0.111971
2.200000	1.118040	0.115945	0.743457	0.101295
2.210000	1.119147	0.105427	0.744415	0.090325
2.220000	1.120149	0.094895	0.745262	0.079113
2.230000	1.121045	0.084352	0.745997	0.067710
2.240000	1.121836	0.073800	0.746616	0.056173
2.250000	1.122521	0.063241	0.747120	0.044558
2.260000	1.123101	0.052674	0.747507	0.032921
2.270000	1.123575	0.042100	0.747778	0.021320
2.280000	1.123943	0.031518	0.747934	0.009811
2.290000	1.124205	0.020927	0.747975	-0.001551
2.300000	1.124361	0.010325	0.747904	-0.012714
2.310000	1.124411	-0.000290	0.747722	-0.023627
2.320000	1.124355	-0.010919	0.747432	-0.034243
2.330000	1.124193	-0.021562	0.747038	-0.044521
2.340000	1.123924	-0.032221	0.746543	-0.054420
2.350000	1.123548	-0.042896	0.745951	-0.063909
2.360000	1.123066	-0.053588	0.745266	-0.072958
2.370000	1.122477	-0.064297	0.744493	-0.081546
2.380000	1.121780	-0.075025	0.743637	-0.089654
2.390000	1.120976	-0.085771	0.742702	-0.097272
2.400000	1.120065	-0.096536	0.741693	-0.104396
2.410000	1.119045	-0.107320	0.740615	-0.111028
2.420000	1.117918	-0.118121	0.739474	-0.117173
2.430000	1.116683	-0.128937	0.738274	-0.122847
2.440000	1.115339	-0.139763	0.737019	-0.128069
2.450000	1.113888	-0.150593	0.735714	-0.132863
2.460000	1.112328	-0.161418	0.734363	-0.137259
2.470000	1.110659	-0.172224	0.732970	-0.141293
2.480000	1.108883	-0.183000	0.731538	-0.145001
2.490000	1.106999	-0.193732	0.730071	-0.148428
2.500000	1.105009	-0.204404	0.728570	-0.151617
2.510000	1.102912	-0.215003	0.727039	-0.154615
2.520000	1.100709	-0.225512	0.725478	-0.157472
2.530000	1.098402	-0.235919	0.723890	-0.160237
2.540000	1.095991	-0.246216	0.722274	-0.162959
2.550000	1.093478	-0.256397	0.720631	-0.165687
2.560000	1.090863	-0.266459	0.718960	-0.168469
2.570000	1.088149	-0.276408	0.717261	-0.171350
2.580000	1.085336	-0.286248	0.715532	-0.174375
