Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000125	0.024921	0.000000	0.000072
0.020000	0.000498	0.049856	0.000002	0.000418
0.030000	0.001122	0.074793	0.000010	0.001233
0.040000	0.001994	0.099720	0.000029	0.002702
0.050000	0.003116	0.124623	0.000067	0.005005
0.060000	0.004487	0.149492	0.000133	0.008308
0.070000	0.006106	0.174319	0.000237	0.012765
0.080000	0.007973	0.199093	0.000392	0.018515
0.090000	0.010087	0.223810	0.000612	0.025681
0.100000	0.012449	0.248466	0.000911	0.034365
0.110000	0.015057	0.273061	0.001305	0.044654
0.120000	0.017910	0.297595	0.001810	0.056610
0.130000	0.021008	0.322063	0.002443	0.070279
0.140000	0.024351	0.346465	0.003221	0.085682
0.150000	0.027937	0.370796	0.004162	0.102818
0.160000	0.031767	0.395045	0.005283	0.121668
0.170000	0.035838	0.419199	0.006601	0.142187
0.180000	0.040150	0.443243	0.008132	0.164312
0.190000	0.044702	0.467158	0.009892	0.187961
0.200000	0.049493	0.490922	0.011896	0.213029
0.210000	0.054520	0.514511	0.014157	0.239395
0.220000	0.059782	0.537908	0.016688	0.266923
0.230000	0.065278	0.561100	0.019499	0.295458
0.240000	0.071004	0.584080	0.022600	0.324835
0.250000	0.076958	0.606848	0.025998	0.354877
0.260000	0.083140	0.629409	0.029699	0.385396
0.270000	0.089546	0.651783	0.033707	0.416201
0.280000	0.096175	0.673995	0.038023	0.447095
0.290000	0.103025	0.696067	0.042648	0.477877
0.300000	0.110096	0.718042	0.047580	0.508352
0.310000	0.117386	0.739955	0.052814	0.538326
0.320000	0.124895	0.761836	0.058344	0.567611
0.330000	0.132623	0.783722	0.064163	0.596030
0.340000	0.140570	0.805641	0.070261	0.623416
0.350000	0.148736	0.827607	0.076627	0.649616
0.360000	0.157122	0.849637	0.083249	0.674492
0.370000	0.165729	0.871737	0.090112	0.697924
0.380000	0.174557	0.893900	0.097202	0.719810
0.390000	0.183607	0.916116	0.104503	0.740067
0.400000	0.192879	0.938370	0.111998	0.758634
0.410000	0.202374	0.960642	0.119670	0.775470
0.420000	0.212092	0.982913	0.127502	0.790554
0.430000	0.222033	1.005151	0.135475	0.803890
0.440000	0.232195	1.027333	0.143574	0.815500
0.450000	0.242579	1.049428	0.151780	0.825426
0.460000	0.253183	1.071410	0.160077	0.833730
0.470000	0.264007	1.093254	0.168449	0.840494
0.480000	0.275048	1.114930	0.176882	0.845815
0.490000	0.286305	1.136405	0.185361	0.849807
0.500000	0.297775	1.157648	0.193874	0.852597
0.510000	0.309457	1.178631	0.202409	0.854326
0.520000	0.321347	1.199320	0.210958	0.855142
0.530000	0.333442	1.219686	0.219510	0.855204
0.540000	0.345739	1.239702	0.228060	0.854676
0.550000	0.358235	1.259343	0.236602	0.853723
0.560000	0.370925	1.278593	0.245133	0.852516
0.570000	0.383805	1.297442	0.253652	0.851222
0.580000	0.396872	1.315887	0.262158	0.850006
0.590000	0.410122	1.333933	0.270653	0.849028
0.600000	0.423550	1.351600	0.279140	0.848443
0.610000	0.437153	1.368910	0.287623	0.848394
0.620000	0.450927	1.385891	0.296110	0.849017
0.630000	0.464869	1.402574	0.304606	0.850437
0.640000	0.478977	1.418989	0.313122	0.852765
0.650000	0.493248	1.435162	0.321665	0.856099
0.660000	0.507680	1.451117	0.330247	0.860522
0.670000	0.522270	1.466865	0.338879	0.866103
0.680000	0.537017	1.482412	0.347573	0.872895
0.690000	0.551918	1.497756	0.356341	0.880934
0.700000	0.566971	1.512885	0.365196	0.890237
