Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000103	0.020547	0.000000	0.000059
0.020000	0.000411	0.041103	0.000002	0.000345
0.030000	0.000925	0.061658	0.000008	0.001016
0.040000	0.001644	0.082203	0.000024	0.002228
0.050000	0.002569	0.102730	0.000055	0.004126
0.060000	0.003699	0.123227	0.000109	0.006849
0.070000	0.005033	0.143688	0.000195	0.010523
0.080000	0.006572	0.164105	0.000323	0.015263
0.090000	0.008315	0.184473	0.000505	0.021170
0.100000	0.010262	0.204792	0.000751	0.028328
0.110000	0.012411	0.225059	0.001075	0.036809
0.120000	0.014763	0.245272	0.001492	0.046664
0.130000	0.017316	0.265430	0.002013	0.057930
0.140000	0.020071	0.285531	0.002655	0.070625
0.150000	0.023026	0.305571	0.003431	0.084749
0.160000	0.026182	0.325545	0.004355	0.100285
0.170000	0.029537	0.345438	0.005441	0.117196
0.180000	0.033091	0.365238	0.006703	0.135430
0.190000	0.036842	0.384933	0.008154	0.154919
0.200000	0.040789	0.404502	0.009805	0.175576
0.210000	0.044931	0.423929	0.011669	0.197304
0.220000	0.049267	0.443200	0.013755	0.219986
0.230000	0.053795	0.462304	0.016071	0.243499
0.240000	0.058512	0.481233	0.018627	0.267705
0.250000	0.063419	0.499990	0.021427	0.292457
0.260000	0.068512	0.518581	0.024477	0.317602
0.270000	0.073790	0.537020	0.027780	0.342981
0.280000	0.079252	0.555322	0.031337	0.368433
0.290000	0.084896	0.573515	0.035148	0.393792
0.300000	0.090722	0.591627	0.039212	0.418898
0.310000	0.096728	0.609684	0.043525	0.443590
0.320000	0.102915	0.627715	0.048082	0.467714
0.330000	0.109282	0.645747	0.052877	0.491124
0.340000	0.115830	0.663799	0.057902	0.513683
0.350000	0.122559	0.681889	0.063147	0.535264
0.360000	0.129468	0.700028	0.068603	0.555754
0.370000	0.136559	0.718219	0.074258	0.575054
0.380000	0.143833	0.736458	0.080100	0.593079
0.390000	0.151289	0.754739	0.086116	0.609762
0.400000	0.158928	0.773049	0.092291	0.625052
0.410000	0.166750	0.791373	0.098612	0.638915
0.420000	0.174755	0.809688	0.105064	0.651334
0.430000	0.182943	0.827974	0.111634	0.662311
0.440000	0.191314	0.846212	0.118306	0.671864
0.450000	0.199867	0.864381	0.125066	0.680029
0.460000	0.208602	0.882459	0.131902	0.686857
0.470000	0.217516	0.900421	0.138799	0.692413
0.480000	0.226610	0.918245	0.145746	0.696779
0.490000	0.235880	0.935907	0.152731	0.700049
0.500000	0.245327	0.953380	0.159744	0.702327
0.510000	0.254947	0.970640	0.166775	0.703728
0.520000	0.264739	0.987662	0.173816	0.704376
0.530000	0.274700	1.004422	0.180860	0.704401
0.540000	0.284827	1.020896	0.187902	0.703938
0.550000	0.295117	1.037065	0.194938	0.703125
