Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000018	0.003640	0.000000	0.000010
0.020000	0.000073	0.007280	0.000000	0.000061
0.030000	0.000164	0.010919	0.000001	0.000180
0.040000	0.000291	0.014555	0.000004	0.000395
0.050000	0.000455	0.018187	0.000010	0.000731
0.060000	0.000655	0.021812	0.000019	0.001213
0.070000	0.000891	0.025430	0.000035	0.001863
0.080000	0.001163	0.029039	0.000057	0.002702
0.090000	0.001472	0.032638	0.000089	0.003748
0.100000	0.001816	0.036226	0.000133	0.005015
0.110000	0.002196	0.039802	0.000190	0.006516
0.120000	0.002612	0.043368	0.000264	0.008259
0.130000	0.003064	0.046920	0.000356	0.010252
0.140000	0.003551	0.050461	0.000470	0.012498
0.150000	0.004073	0.053989	0.000607	0.014996
0.160000	0.004630	0.057503	0.000771	0.017742
0.170000	0.005223	0.061001	0.000963	0.020732
0.180000	0.005850	0.064480	0.001186	0.023954
0.190000	0.006512	0.067941	0.001443	0.027398
0.200000	0.007209	0.071380	0.001735	0.031047
0.210000	0.007940	0.074795	0.002064	0.034884
0.220000	0.008705	0.078184	0.002433	0.038888
0.230000	0.009503	0.081547	0.002843	0.043038
0.240000	0.010336	0.084880	0.003294	0.047309
0.250000	0.011201	0.088187	0.003789	0.051676
0.260000	0.012099	0.091466	0.004328	0.056110
0.270000	0.013030	0.094721	0.004911	0.060585
0.280000	0.013994	0.097953	0.005540	0.065071
0.290000	0.014989	0.101167	0.006213	0.069540
0.300000	0.016017	0.104367	0.006930	0.073964
0.310000	0.017077	0.107555	0.007692	0.078314
0.320000	0.018168	0.110735	0.008496	0.082563
0.330000	0.019291	0.113913	0.009343	0.086685
0.340000	0.020446	0.117089	0.010229	0.090657
0.350000	0.021633	0.120268	0.011155	0.094455
0.360000	0.022852	0.123449	0.012118	0.098061
0.370000	0.024102	0.126634	0.013116	0.101455
0.380000	0.025384	0.129822	0.014146	0.104625
0.390000	0.026698	0.133012	0.015207	0.107557
0.400000	0.028045	0.136203	0.016297	0.110241
0.410000	0.029422	0.139390	0.017411	0.112674
0.420000	0.030832	0.142573	0.018549	0.114850
0.430000	0.032274	0.145750	0.019707	0.116770
0.440000	0.033747	0.148916	0.020884	0.118437
0.450000	0.035252	0.152069	0.022075	0.119857
0.460000	0.036789	0.155206	0.023280	0.121040
0.470000	0.038356	0.158322	0.024495	0.121995
0.480000	0.039955	0.161416	0.025719	0.122739
0.490000	0.041584	0.164484	0.026950	0.123286
0.500000	0.043245	0.167521	0.028184	0.123657
0.510000	0.044935	0.170525	0.029422	0.123870
0.520000	0.046655	0.173491	0.030661	0.123948
0.530000	0.048404	0.176416	0.031901	0.123914
0.540000	0.050183	0.179296	0.033139	0.123792
0.550000	0.051990	0.182129	0.034376	0.123607
0.560000	0.053826	0.184912	0.035611	0.123384
0.570000	0.055688	0.187644	0.036844	0.123147
0.580000	0.057578	0.190325	0.038074	0.122921
0.590000	0.059495	0.192954	0.039303	0.122730
0.600000	0.061437	0.195531	0.040529	0.122597
0.610000	0.063405	0.198062	0.041755	0.122543
0.620000	0.065398	0.200547	0.042980	0.122590
0.630000	0.067416	0.202989	0.044207	0.122756
0.640000	0.069458	0.205390	0.045436	0.123057
0.650000	0.071524	0.207755	0.046669	0.123508
0.660000	0.073613	0.210084	0.047907	0.124123
0.670000	0.075725	0.212379	0.049152	0.124911
0.680000	0.077860	0.214640	0.050405	0.125880
0.690000	0.080018	0.216866	0.051670	0.127036
0.700000	0.082197	0.219057	0.052947	0.128381
