Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000053	0.010512	0.000000	0.000030
0.020000	0.000210	0.021027	0.000001	0.000176
0.030000	0.000473	0.031542	0.000004	0.000520
0.040000	0.000841	0.042050	0.000012	0.001140
0.050000	0.001314	0.052547	0.000028	0.002111
0.060000	0.001892	0.063027	0.000056	0.003504
0.070000	0.002575	0.073487	0.000100	0.005383
0.080000	0.003362	0.083922	0.000165	0.007807
0.090000	0.004253	0.094331	0.000258	0.010828
0.100000	0.005248	0.104712	0.000384	0.014489
0.110000	0.006347	0.115063	0.000550	0.018826
0.120000	0.007549	0.125386	0.000763	0.023866
0.130000	0.008855	0.135678	0.001030	0.029627
0.140000	0.010263	0.145938	0.001358	0.036118
0.150000	0.011773	0.156164	0.001755	0.043339
0.160000	0.013386	0.166352	0.002227	0.051281
0.170000	0.015100	0.176499	0.002783	0.059925
0.180000	0.016916	0.186596	0.003428	0.069245
0.190000	0.018832	0.196638	0.004170	0.079205
0.200000	0.020848	0.206615	0.005014	0.089761
0.210000	0.022964	0.216521	0.005967	0.100862
0.220000	0.025178	0.226351	0.007033	0.112451
0.230000	0.027491	0.236099	0.008217	0.124462
0.240000	0.029900	0.245760	0.009523	0.136825
0.250000	0.032406	0.255336	0.010955	0.149466
0.260000	0.035007	0.264831	0.012513	0.162307
0.270000	0.037702	0.274249	0.014201	0.175266
0.280000	0.040491	0.283601	0.016019	0.188260
0.290000	0.043374	0.292896	0.017966	0.201206
0.300000	0.046349	0.302150	0.020042	0.214022
0.310000	0.049417	0.311375	0.022246	0.226625
0.320000	0.052577	0.320583	0.024574	0.238937
0.330000	0.055828	0.329787	0.027023	0.250884
0.340000	0.059172	0.338997	0.029590	0.262395
0.350000	0.062608	0.348220	0.032270	0.273406
0.360000	0.066137	0.357459	0.035056	0.283859
0.370000	0.069758	0.366719	0.037945	0.293704
0.380000	0.073471	0.375998	0.040928	0.302897
0.390000	0.077278	0.385291	0.044000	0.311402
0.400000	0.081177	0.394592	0.047154	0.319196
0.410000	0.085169	0.403894	0.050382	0.326259
0.420000	0.089255	0.413189	0.053677	0.332583
0.430000	0.093433	0.422467	0.057031	0.338168
0.440000	0.097704	0.431719	0.060438	0.343024
0.450000	0.102067	0.440932	0.063889	0.347169
0.460000	0.106523	0.450098	0.067379	0.350628
0.470000	0.111069	0.459206	0.070900	0.353435
0.480000	0.115707	0.468246	0.074445	0.355631
0.490000	0.120434	0.477206	0.078010	0.357264
0.500000	0.125250	0.486073	0.081589	0.358388
0.510000	0.130155	0.494838	0.085177	0.359060
0.520000	0.135147	0.503486	0.088769	0.359346
0.530000	0.140224	0.512006	0.092362	0.359310
0.540000	0.145386	0.520387	0.095954	0.359024
0.550000	0.150632	0.528620	0.099542	0.358556
0.560000	0.155958	0.536699	0.103125	0.357979
0.570000	0.161365	0.544619	0.106702	0.357365
0.580000	0.166850	0.552378	0.110272	0.356783
0.590000	0.172412	0.559979	0.113838	0.356301
0.600000	0.178049	0.567428	0.117399	0.355986
0.610000	0.183760	0.574730	0.120958	0.355900
0.620000	0.189543	0.581897	0.124518	0.356099
0.630000	0.195398	0.588940	0.128081	0.356638
0.640000	0.201322	0.595869	0.131652	0.357564
0.650000	0.207315	0.602693	0.135234	0.358919
0.660000	0.213375	0.609419	0.138832	0.360740
0.670000	0.219503	0.616052	0.142450	0.363055
0.680000	0.225696	0.622594	0.146095	0.365886
0.690000	0.231954	0.629044	0.149770	0.369251
0.700000	0.238277	0.635397	0.153481	0.373155
0.710000	0.244662	0.641644	0.157235	0.377600
0.720000	0.251109	0.647778	0.161035	0.382581
0.730000	0.257617	0.653787	0.164888	0.388081
0.740000	0.264184	0.659661	0.168799	0.394080
0.750000	0.270810	0.665389	0.172771	0.400550
0.760000	0.277492	0.670967	0.176811	0.407454
0.770000	0.284229	0.676391	0.180922	0.414753
0.780000	0.291019	0.681662	0.185107	0.422398
0.790000	0.297861	0.686780	0.189371	0.430337
0.800000	0.304754	0.691749	0.193715	0.438511
0.810000	0.311696	0.696576	0.198142	0.446862
0.820000	0.318685	0.701268	0.202652	0.455324
0.830000	0.325721	0.705831	0.207248	0.463831
0.840000	0.332801	0.710272	0.211929	0.472316
0.850000	0.339926	0.714595	0.216694	0.480711
0.860000	0.347093	0.718802	0.221543	0.488949
0.870000	0.354301	0.722894	0.226472	0.496964
0.880000	0.361550	0.726866	0.231481	0.504692
0.890000	0.368838	0.730714	0.236565	0.512070
0.900000	0.376164	0.734433	0.241721	0.519042
0.910000	0.383527	0.738018	0.246944	0.525555
0.920000	0.390924	0.741464	0.252230	0.531558
0.930000	0.398355	0.744767	0.257574	0.537008
0.940000	0.405819	0.747927	0.262969	0.541867
0.950000	0.413313	0.750945	0.268409	0.546104
0.960000	0.420837	0.753824	0.273889	0.549693
0.970000	0.428389	0.756573	0.279401	0.552617
0.980000	0.435968	0.759196	0.284939	0.554862
0.990000	0.443573	0.761701	0.290496	0.556427
1.000000	0.451202	0.764097	0.296065	0.557315
1.010000	0.458855	0.766391	0.301640	0.557535
1.020000	0.466530	0.768586	0.307213	0.557106
1.030000	0.474226	0.770685	0.312780	0.556053
1.040000	0.481943	0.772686	0.318333	0.554409
1.050000	0.489679	0.774587	0.323866	0.552210
1.060000	0.497434	0.776383	0.329375	0.549502
1.070000	0.505207	0.778069	0.334855	0.546331
1.080000	0.512995	0.779640	0.340300	0.542753
1.090000	0.520799	0.781087	0.345708	0.538825
1.100000	0.528617	0.782408	0.351076	0.534606
1.110000	0.536447	0.783597	0.356400	0.530160
1.120000	0.544288	0.784655	0.361678	0.525549
1.130000	0.552139	0.785582	0.366910	0.520840
1.140000	0.559999	0.786383	0.372095	0.516095
1.150000	0.567867	0.787060	0.377232	0.511380
1.160000	0.575740	0.787619	0.382323	0.506756
1.170000	0.583619	0.788064	0.387368	0.502282
1.180000	0.591501	0.788399	0.392369	0.498017
1.190000	0.599386	0.788624	0.397329	0.494012
1.200000	0.607273	0.788735	0.402251	0.490317
1.210000	0.615161	0.788730	0.407137	0.486976
1.220000	0.623047	0.788597	0.411991	0.484028
1.230000	0.630932	0.788326	0.416819	0.481506
1.240000	0.638813	0.787905	0.421623	0.479434
1.250000	0.646690	0.787320	0.426409	0.477834
1.260000	0.654559	0.786555	0.431181	0.476717
1.270000	0.662420	0.785598	0.435945	0.476088
1.280000	0.670271	0.784442	0.440705	0.475944
1.290000	0.678108	0.783078	0.445465	0.476276
1.300000	0.685931	0.781503	0.450232	0.477066
1.310000	0.693738	0.779719	0.455008	0.478289
1.320000	0.701525	0.777731	0.459799	0.479913
1.330000	0.709292	0.775547	0.464608	0.481902
