Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000056	0.011197	0.000000	0.000032
0.020000	0.000224	0.022404	0.000001	0.000188
0.030000	0.000504	0.033615	0.000005	0.000554
0.040000	0.000896	0.044824	0.000013	0.001214
0.050000	0.001401	0.056025	0.000030	0.002249
0.060000	0.002017	0.067215	0.000060	0.003734
0.070000	0.002745	0.078388	0.000107	0.005738
0.080000	0.003584	0.089540	0.000176	0.008323
0.090000	0.004535	0.100671	0.000275	0.011545
0.100000	0.005598	0.111779	0.000409	0.015450
0.110000	0.006771	0.122864	0.000586	0.020077
0.120000	0.008055	0.133927	0.000814	0.025455
0.130000	0.009449	0.144967	0.001098	0.031603
0.140000	0.010954	0.155984	0.001448	0.038533
0.150000	0.012569	0.166975	0.001871	0.046244
0.160000	0.014294	0.177935	0.002376	0.054727
0.170000	0.016128	0.188858	0.002968	0.063963
0.180000	0.018071	0.199733	0.003657	0.073924
0.190000	0.020122	0.210552	0.004449	0.084573
0.200000	0.022281	0.221300	0.005351	0.095864
0.210000	0.024548	0.231969	0.006368	0.107742
0.220000	0.026920	0.242547	0.007508	0.120147
0.230000	0.029398	0.253026	0.008773	0.133008
0.240000	0.031981	0.263402	0.010169	0.146251
0.250000	0.034666	0.273675	0.011699	0.159798
0.260000	0.037454	0.283847	0.013366	0.173563
0.270000	0.040343	0.293929	0.015171	0.187459
0.280000	0.043332	0.303933	0.017115	0.201398
0.290000	0.046421	0.313875	0.019198	0.215290
0.300000	0.049610	0.323773	0.021420	0.229045
0.310000	0.052897	0.333647	0.023779	0.242576
0.320000	0.056282	0.343515	0.026271	0.255799
0.330000	0.059767	0.353393	0.028893	0.268633
0.340000	0.063350	0.363297	0.031642	0.281002
0.350000	0.067033	0.373237	0.034512	0.292838
0.360000	0.070815	0.383220	0.037497	0.304079
0.370000	0.074698	0.393249	0.040591	0.314670
0.380000	0.078680	0.403322	0.043788	0.324566
0.390000	0.082764	0.413433	0.047080	0.333729
