Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000081	0.016119	0.000000	0.000046
0.020000	0.000322	0.032249	0.000002	0.000270
0.030000	0.000726	0.048381	0.000007	0.000797
0.040000	0.001290	0.064508	0.000019	0.001748
0.050000	0.002016	0.080621	0.000043	0.003238
0.060000	0.002902	0.096714	0.000086	0.005374
0.070000	0.003950	0.112780	0.000153	0.008258
0.080000	0.005158	0.128815	0.000254	0.011978
0.090000	0.006526	0.144814	0.000396	0.016613
0.100000	0.008054	0.160778	0.000589	0.022232
0.110000	0.009741	0.176704	0.000844	0.028888
0.120000	0.011588	0.192593	0.001171	0.036625
0.130000	0.013593	0.208443	0.001580	0.045469
0.140000	0.015757	0.224255	0.002084	0.055436
0.150000	0.018078	0.240024	0.002693	0.066526
0.160000	0.020557	0.255743	0.003418	0.078725
0.170000	0.023193	0.271404	0.004271	0.092005
0.180000	0.025985	0.286995	0.005262	0.106326
0.190000	0.028932	0.302502	0.006401	0.121634
0.200000	0.032035	0.317910	0.007697	0.137863
0.210000	0.035290	0.333205	0.009161	0.154933
0.220000	0.038698	0.348375	0.010798	0.172756
0.230000	0.042257	0.363407	0.012618	0.191234
0.240000	0.045966	0.378297	0.014625	0.210259
0.250000	0.049823	0.393047	0.016825	0.229715
0.260000	0.053826	0.407660	0.019220	0.249483
0.270000	0.057976	0.422148	0.021815	0.269437
0.280000	0.062269	0.436528	0.024609	0.289450
0.290000	0.066706	0.450817	0.027604	0.309392
0.300000	0.071285	0.465044	0.030796	0.329137
0.310000	0.076007	0.479233	0.034185	0.348558
0.320000	0.080870	0.493404	0.037766	0.367535
0.330000	0.085875	0.507584	0.041534	0.385951
0.340000	0.091022	0.521791	0.045483	0.403699
0.350000	0.096311	0.536037	0.049606	0.420680
0.360000	0.101742	0.550333	0.053894	0.436804
0.370000	0.107317	0.564681	0.058338	0.451994
0.380000	0.113036	0.579078	0.062930	0.466183
0.390000	0.118899	0.593518	0.067659	0.479320
0.400000	0.124907	0.607989	0.072513	0.491362
0.410000	0.131059	0.622479	0.077482	0.502286
0.420000	0.137356	0.636970	0.082555	0.512077
0.430000	0.143798	0.651446	0.087720	0.520739
0.440000	0.150385	0.665886	0.092966	0.528284
0.450000	0.157116	0.680273	0.098282	0.534742
0.460000	0.163990	0.694588	0.103657	0.540153
0.470000	0.171007	0.708812	0.109082	0.544570
0.480000	0.178166	0.722923	0.114546	0.548055
0.490000	0.185465	0.736903	0.120040	0.550683
0.500000	0.192904	0.750730	0.125557	0.552537
0.510000	0.200479	0.764383	0.131088	0.553707
0.520000	0.208191	0.777838	0.136629	0.554289
0.530000	0.216035	0.791075	0.142173	0.554386
