Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000058	0.011668	0.000000	0.000034
0.020000	0.000233	0.023345	0.000001	0.000196
0.030000	0.000525	0.035026	0.000005	0.000577
0.040000	0.000934	0.046705	0.000014	0.001265
0.050000	0.001459	0.058376	0.000031	0.002344
0.060000	0.002101	0.070034	0.000062	0.003891
0.070000	0.002860	0.081674	0.000111	0.005979
0.080000	0.003735	0.093293	0.000184	0.008672
0.090000	0.004726	0.104889	0.000287	0.012029
0.100000	0.005832	0.116460	0.000427	0.016098
0.110000	0.007055	0.128007	0.000611	0.020919
0.120000	0.008393	0.139530	0.000848	0.026522
0.130000	0.009845	0.151030	0.001144	0.032928
0.140000	0.011413	0.162504	0.001509	0.040148
0.150000	0.013095	0.173950	0.001950	0.048182
0.160000	0.014892	0.185365	0.002475	0.057020
0.170000	0.016803	0.196740	0.003093	0.066642
0.180000	0.018827	0.208067	0.003811	0.077020
0.190000	0.020964	0.219333	0.004636	0.088114
0.200000	0.023213	0.230526	0.005575	0.099876
0.210000	0.025574	0.241636	0.006635	0.112250
0.220000	0.028045	0.252653	0.007822	0.125172
0.230000	0.030627	0.263566	0.009140	0.138569
0.240000	0.033316	0.274373	0.010595	0.152365
0.250000	0.036114	0.285073	0.012189	0.166476
0.260000	0.039018	0.295670	0.013925	0.180814
0.270000	0.042027	0.306172	0.015805	0.195289
0.280000	0.045141	0.316594	0.017831	0.209807
0.290000	0.048358	0.326953	0.020001	0.224277
0.300000	0.051680	0.337264	0.022316	0.238604
0.310000	0.055104	0.347549	0.024773	0.252697
0.320000	0.058631	0.357829	0.027369	0.266469
0.330000	0.062260	0.368118	0.030101	0.279836
0.340000	0.065993	0.378432	0.032964	0.292719
0.350000	0.069829	0.388784	0.035953	0.305046
0.360000	0.073769	0.399178	0.039063	0.316753
0.370000	0.077813	0.409619	0.042286	0.327783
0.380000	0.081961	0.420105	0.045616	0.338089
0.390000	0.086215	0.430629	0.049045	0.347632
0.400000	0.090574	0.441182	0.052566	0.356383
0.410000	0.095039	0.451752	0.056170	0.364325
0.420000	0.099609	0.462329	0.059850	0.371447
0.430000	0.104285	0.472898	0.063596	0.377752
0.440000	0.109067	0.483445	0.067402	0.383250
0.450000	0.113954	0.493955	0.071259	0.387963
0.460000	0.118946	0.504413	0.075159	0.391919
0.470000	0.124042	0.514804	0.079095	0.395157
0.480000	0.129242	0.525112	0.083060	0.397724
0.490000	0.134544	0.535323	0.087047	0.399673
0.500000	0.139948	0.545418	0.091051	0.401063
0.510000	0.145452	0.555380	0.095067	0.401960
0.520000	0.151055	0.565192	0.099089	0.402435
0.530000	0.156755	0.574840	0.103114	0.402561
0.540000	0.162551	0.584307	0.107139	0.402415
0.550000	0.168441	0.593581	0.111162	0.402073
0.560000	0.174422	0.602656	0.115181	0.401615
0.570000	0.180493	0.611525	0.119194	0.401118
0.580000	0.186652	0.620191	0.123203	0.400658
0.590000	0.192896	0.628658	0.127208	0.400309
0.600000	0.199224	0.636936	0.131210	0.400143
0.610000	0.205634	0.645039	0.135211	0.400225
0.620000	0.212125	0.652981	0.139215	0.400617
0.630000	0.218694	0.660780	0.143225	0.401377
0.640000	0.225340	0.668454	0.147244	0.402556
0.650000	0.232062	0.676020	0.151278	0.404198
0.660000	0.238860	0.683492	0.155330	0.406341
0.670000	0.245732	0.690878	0.159406	0.409017
0.680000	0.252677	0.698180	0.163512	0.412249
0.690000	0.259695	0.705397	0.167653	0.416055
0.700000	0.266785	0.712522	0.171835	0.420442
