Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000083	0.016594	0.000000	0.000048
0.020000	0.000332	0.033196	0.000002	0.000278
0.030000	0.000747	0.049799	0.000007	0.000821
0.040000	0.001328	0.066394	0.000019	0.001799
0.050000	0.002075	0.082971	0.000045	0.003333
0.060000	0.002987	0.099524	0.000088	0.005532
0.070000	0.004065	0.116045	0.000158	0.008499
0.080000	0.005308	0.132531	0.000261	0.012327
0.090000	0.006716	0.148977	0.000407	0.017098
0.100000	0.008287	0.165381	0.000606	0.022879
0.110000	0.010023	0.181744	0.000869	0.029728
0.120000	0.011922	0.198061	0.001205	0.037687
0.130000	0.013984	0.214334	0.001626	0.046785
0.140000	0.016209	0.230560	0.002144	0.057037
0.150000	0.018595	0.246734	0.002771	0.068443
0.160000	0.021143	0.262853	0.003517	0.080988
0.170000	0.023852	0.278907	0.004394	0.094644
0.180000	0.026721	0.294885	0.005413	0.109367
0.190000	0.029749	0.310775	0.006585	0.125103
0.200000	0.032936	0.326564	0.007919	0.141783
0.210000	0.036280	0.342242	0.009423	0.159326
0.220000	0.039781	0.357795	0.011108	0.177639
0.230000	0.043436	0.373215	0.012978	0.196622
0.240000	0.047244	0.388496	0.015042	0.216164
0.250000	0.051205	0.403636	0.017303	0.236146
0.260000	0.055317	0.418643	0.019766	0.256445
0.270000	0.059578	0.433528	0.022433	0.276933
0.280000	0.063987	0.448307	0.025305	0.297478
0.290000	0.068544	0.462996	0.028382	0.317948
0.300000	0.073247	0.477618	0.031663	0.338213
0.310000	0.078096	0.492198	0.035145	0.358143
0.320000	0.083091	0.506752	0.038824	0.377615
0.330000	0.088231	0.521305	0.042696	0.396510
0.340000	0.093517	0.535874	0.046752	0.414717
0.350000	0.098948	0.550472	0.050987	0.432135
0.360000	0.104526	0.565106	0.055392	0.448672
0.370000	0.110251	0.579776	0.059958	0.464247
0.380000	0.116122	0.594482	0.064674	0.478793
0.390000	0.122140	0.609218	0.069530	0.492255
0.400000	0.128306	0.623975	0.074515	0.504591
0.410000	0.134620	0.638740	0.079618	0.515774
0.420000	0.141081	0.653498	0.084827	0.525792
0.430000	0.147690	0.668234	0.090130	0.534644
0.440000	0.154446	0.682930	0.095516	0.542345
0.450000	0.161348	0.697569	0.100973	0.548925
0.460000	0.168397	0.712132	0.106491	0.554424
0.470000	0.175591	0.726602	0.112058	0.558895
0.480000	0.182928	0.740962	0.117665	0.562404
0.490000	0.190409	0.755191	0.123303	0.565026
0.500000	0.198032	0.769271	0.128963	0.566846
0.510000	0.205794	0.783181	0.134638	0.567957
0.520000	0.213695	0.796902	0.140320	0.568459
0.530000	0.221732	0.810414	0.146005	0.568456
0.540000	0.229902	0.823698	0.151688	0.568059
0.550000	0.238205	0.836740	0.157365	0.567378
0.560000	0.246636	0.849527	0.163035	0.566526
0.570000	0.255194	0.862056	0.168696	0.565615
0.580000	0.263876	0.874324	0.174347	0.564756
0.590000	0.272680	0.886335	0.179991	0.564056
0.600000	0.281602	0.898099	0.185629	0.563618
0.610000	0.290641	0.909627	0.191265	0.563538
0.620000	0.299794	0.920937	0.196902	0.563908
0.630000	0.309059	0.932048	0.202545	0.564811
0.640000	0.318435	0.942981	0.208200	0.566321
0.650000	0.327918	0.953751	0.213873	0.568505
0.660000	0.337509	0.964372	0.219572	0.571418
0.670000	0.347205	0.974851	0.225304	0.575106
0.680000	0.357006	0.985193	0.231077	0.579605
0.690000	0.366909	0.995395	0.236899	0.584939
0.700000	0.376913	1.005447	0.242779	0.591120
0.710000	0.387017	1.015338	0.248725	0.598149
0.720000	0.397219	1.025051	0.254745	0.606016
0.730000	0.407517	1.034569	0.260848	0.614699
0.740000	0.417910	1.043872	0.267041	0.624165
0.750000	0.428394	1.052946	0.273333	0.634369
0.760000	0.438968	1.061783	0.279731	0.645255
0.770000	0.449629	1.070374	0.286240	0.656759
0.780000	0.460375	1.078719	0.292868	0.668805
0.790000	0.471203	1.086821	0.299618	0.681313
0.800000	0.482110	1.094685	0.306495	0.694190
0.810000	0.493095	1.102324	0.313503	0.707343
0.820000	0.504156	1.109749	0.320643	0.720670
0.830000	0.515290	1.116971	0.327916	0.734067
0.840000	0.526495	1.123999	0.335324	0.747430
0.850000	0.537769	1.130840	0.342865	0.760650
0.860000	0.549111	1.137499	0.350536	0.773623
0.870000	0.560518	1.143972	0.358336	0.786244
0.880000	0.571990	1.150256	0.366260	0.798413
0.890000	0.583523	1.156345	0.374302	0.810033
0.900000	0.595116	1.162228	0.382458	0.821015
0.910000	0.606767	1.167897	0.390720	0.831272
0.920000	0.618473	1.173342	0.399081	0.840729
0.930000	0.630233	1.178557	0.407532	0.849318
0.940000	0.642044	1.183541	0.416064	0.856977
0.950000	0.653903	1.188295	0.424668	0.863656
0.960000	0.665809	1.192826	0.433334	0.869317
0.970000	0.677759	1.197146	0.442051	0.873931
0.980000	0.689751	1.201265	0.450809	0.877478
0.990000	0.701783	1.205197	0.459597	0.879953
1.000000	0.713854	1.208955	0.468405	0.881361
1.010000	0.725962	1.212550	0.477221	0.881719
1.020000	0.738105	1.215989	0.486036	0.881056
1.030000	0.750281	1.219278	0.494839	0.879409
1.040000	0.762490	1.222415	0.503621	0.876829
1.050000	0.774729	1.225397	0.512372	0.873375
1.060000	0.786997	1.228215	0.521085	0.869117
1.070000	0.799293	1.230860	0.529752	0.864132
1.080000	0.811614	1.233320	0.538366	0.858503
1.090000	0.823959	1.235587	0.546920	0.852319
1.100000	0.836325	1.237653	0.555411	0.845677
1.110000	0.848711	1.239514	0.563833	0.838674
1.120000	0.861114	1.241165	0.572183	0.831411
1.130000	0.873534	1.242608	0.580460	0.823990
1.140000	0.885966	1.243853	0.588663	0.816512
1.150000	0.898410	1.244909	0.596791	0.809077
1.160000	0.910864	1.245782	0.604845	0.801784
1.170000	0.923325	1.246480	0.612827	0.794727
1.180000	0.935793	1.247008	0.620741	0.787994
1.190000	0.948265	1.247365	0.628589	0.781671
1.200000	0.960739	1.247553	0.636376	0.775834
1.210000	0.973215	1.247563	0.644107	0.770554
1.220000	0.985690	1.247376	0.651789	0.765892
1.230000	0.998162	1.246973	0.659427	0.761898
1.240000	1.010629	1.246335	0.667029	0.758617
1.250000	1.023088	1.245438	0.674602	0.756077
1.260000	1.035536	1.244254	0.682153	0.754300
1.270000	1.047972	1.242762	0.689690	0.753292
1.280000	1.060391	1.240946	0.697222	0.753051
1.290000	1.072790	1.238798	0.704754	0.753560
1.300000	1.085165	1.236311	0.712295	0.754793
1.310000	1.097515	1.233486	0.719852	0.756709
1.320000	1.109834	1.230329	0.727431	0.759260
1.330000	1.122120	1.226856	0.735039	0.762386
1.340000	1.134370	1.223081	0.742681	0.766018
1.350000	1.146581	1.219022	0.750361	0.770080
1.360000	1.158750	1.214698	0.758084	0.774485
1.370000	1.170874	1.210125	0.765852	0.779145
1.380000	1.182951	1.205315	0.773667	0.783965
1.390000	1.194980	1.200276	0.781531	0.788846
1.400000	1.206956	1.195013	0.789444	0.793688
1.410000	1.218879	1.189528	0.797404	0.798391
1.420000	1.230746	1.183817	0.805411	0.802852
1.430000	1.242555	1.177877	0.813460	0.806973
1.440000	1.254303	1.171704	0.821549	0.810658
1.450000	1.265988	1.165293	0.829672	0.813813
1.460000	1.277608	1.158639	0.837823	0.816349
1.470000	1.289160	1.151744	0.845996	0.818186
1.480000	1.300642	1.144611	0.854184	0.819249
1.490000	1.312051	1.137246	0.862379	0.819470
1.500000	1.323386	1.129658	0.870571	0.818790
1.510000	1.334644	1.121858	0.878751	0.817159
1.520000	1.345823	1.113858	0.886911	0.814541
1.530000	1.356920	1.105672	0.895039	0.810904
1.540000	1.367935	1.097310	0.903125	0.806233
1.550000	1.378866	1.088782	0.911160	0.800520
1.560000	1.389710	1.080095	0.919132	0.793772
1.570000	1.400467	1.071252	0.927032	0.786004
1.580000	1.411135	1.062253	0.934849	0.777243
1.590000	1.421712	1.053096	0.942574	0.767529
1.600000	1.432196	1.043778	0.950196	0.756908
1.610000	1.442587	1.034294	0.957709	0.745440
1.620000	1.452882	1.024639	0.965103	0.733190
1.630000	1.463079	1.014807	0.972370	0.720234
1.640000	1.473177	1.004796	0.979505	0.706651
1.650000	1.483174	0.994604	0.986502	0.692529
1.660000	1.493069	0.984234	0.993354	0.677960
1.670000	1.502858	0.973687	1.000060	0.663040
1.680000	1.512542	0.962967	1.006614	0.647865
1.690000	1.522117	0.952079	1.013016	0.632536
1.700000	1.531583	0.941029	1.019265	0.617151
1.710000	1.540937	0.929821	1.025360	0.601809
1.720000	1.550179	0.918461	1.031301	0.586606
1.730000	1.559306	0.906950	1.037092	0.571634
1.740000	1.568317	0.895290	1.042735	0.556983
1.750000	1.577211	0.883478	1.048233	0.542735
1.760000	1.585986	0.871514	1.053591	0.528966
1.770000	1.594641	0.859396	1.058815	0.515747
1.780000	1.603174	0.847118	1.063908	0.503137
1.790000	1.611583	0.834679	1.068879	0.491190
1.800000	1.619867	0.822075	1.073735	0.479948
1.810000	1.628024	0.809305	1.078481	0.469442
1.820000	1.636052	0.796370	1.083126	0.459696
1.830000	1.643951	0.783269	1.087677	0.450720
1.840000	1.651717	0.770002	1.092143	0.442516
1.850000	1.659350	0.756575	1.096530	0.435074
1.860000	1.666848	0.742991	1.100847	0.428372
1.870000	1.674210	0.729251	1.105100	0.422382
1.880000	1.681433	0.715357	1.109297	0.417062
1.890000	1.688516	0.701313	1.113443	0.412363
1.900000	1.695458	0.687120	1.117546	0.408227
1.910000	1.702258	0.672778	1.121610	0.404588
1.920000	1.708914	0.658287	1.125639	0.401374
1.930000	1.715423	0.643645	1.129638	0.398506
1.940000	1.721786	0.628855	1.133610	0.395900
1.950000	1.728000	0.613919	1.137557	0.393468
1.960000	1.734064	0.598838	1.141480	0.391120
1.970000	1.739976	0.583618	1.145379	0.388763
1.980000	1.745736	0.568265	1.149255	0.386304
1.990000	1.751341	0.552786	1.153105	0.383650
2.000000	1.756791	0.537193	1.156927	0.380711
2.010000	1.762085	0.521498	1.160718	0.377399
2.020000	1.767221	0.505711	1.164473	0.373630
2.030000	1.772199	0.489842	1.168188	0.369326
2.040000	1.777017	0.473899	1.171858	0.364415
2.050000	1.781676	0.457893	1.175474	0.358830
2.060000	1.786175	0.441830	1.179032	0.352516
2.070000	1.790513	0.425714	1.182522	0.345423
2.080000	1.794689	0.409546	1.185938	0.337513
2.090000	1.798704	0.393329	1.189270	0.328754
2.100000	1.802555	0.377059	1.192510	0.319129
2.110000	1.806244	0.360734	1.195649	0.308626
2.120000	1.809770	0.344351	1.198679	0.297248
2.130000	1.813131	0.327907	1.201591	0.285004
2.140000	1.816328	0.311403	1.204377	0.271916
2.150000	1.819359	0.294841	1.207027	0.258014
2.160000	1.822225	0.278223	1.209534	0.243338
2.170000	1.824923	0.261550	1.211891	0.227937
