Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000049	0.009804	0.000000	0.000028
0.020000	0.000196	0.019616	0.000001	0.000165
0.030000	0.000441	0.029433	0.000004	0.000485
0.040000	0.000785	0.039249	0.000011	0.001063
0.050000	0.001226	0.049060	0.000026	0.001970
0.060000	0.001766	0.058860	0.000052	0.003270
0.070000	0.002403	0.068647	0.000093	0.005024
0.080000	0.003139	0.078418	0.000154	0.007288
0.090000	0.003972	0.088170	0.000241	0.010109
0.100000	0.004902	0.097905	0.000359	0.013529
0.110000	0.005930	0.107620	0.000514	0.017581
0.120000	0.007055	0.117318	0.000712	0.022291
0.130000	0.008276	0.126997	0.000962	0.027677
0.140000	0.009594	0.136658	0.001268	0.033746
0.150000	0.011009	0.146298	0.001639	0.040501
0.160000	0.012520	0.155913	0.002080	0.047932
0.170000	0.014127	0.165496	0.002600	0.056023
0.180000	0.015830	0.175039	0.003203	0.064750
0.190000	0.017628	0.184532	0.003897	0.074080
0.200000	0.019520	0.193965	0.004687	0.083974
0.210000	0.021507	0.203327	0.005578	0.094382
0.220000	0.023587	0.212607	0.006576	0.105253
0.230000	0.025759	0.221799	0.007684	0.116525
0.240000	0.028022	0.230898	0.008907	0.128133
0.250000	0.030377	0.239904	0.010248	0.140007
0.260000	0.032820	0.248820	0.011708	0.152074
0.270000	0.035353	0.257655	0.013290	0.164257
0.280000	0.037973	0.266421	0.014993	0.176478
0.290000	0.040681	0.275131	0.016819	0.188658
0.300000	0.043476	0.283802	0.018766	0.200719
0.310000	0.046357	0.292454	0.020833	0.212585
0.320000	0.049325	0.301103	0.023017	0.224180
0.330000	0.052379	0.309764	0.025315	0.235435
0.340000	0.055520	0.318451	0.027724	0.246284
0.350000	0.058748	0.327174	0.030239	0.256665
0.360000	0.062064	0.335940	0.032856	0.266525
0.370000	0.065467	0.344750	0.035568	0.275816
0.380000	0.068959	0.353602	0.038370	0.284498
0.390000	0.072539	0.362494	0.041256	0.292539
0.400000	0.076209	0.371414	0.044219	0.299914
0.410000	0.079968	0.380354	0.047252	0.306610
0.420000	0.083816	0.389302	0.050349	0.312617
0.430000	0.087754	0.398246	0.053502	0.317938
0.440000	0.091781	0.407174	0.056705	0.322582
0.450000	0.095897	0.416071	0.059951	0.326567
0.460000	0.100102	0.424925	0.063234	0.329918
0.470000	0.104395	0.433722	0.066548	0.332666
0.480000	0.108776	0.442448	0.069886	0.334852
0.490000	0.113244	0.451088	0.073243	0.336521
0.500000	0.117798	0.459628	0.076615	0.337722
0.510000	0.122436	0.468054	0.079996	0.338511
0.520000	0.127158	0.476348	0.083384	0.338947
0.530000	0.131963	0.484498	0.086774	0.339091
0.540000	0.136848	0.492491	0.090165	0.339008
0.550000	0.141812	0.500316	0.093554	0.338763
0.560000	0.146853	0.507965	0.096940	0.338420
0.570000	0.151971	0.515436	0.100322	0.338046
0.580000	0.157162	0.522728	0.103701	0.337704
0.590000	0.162425	0.529848	0.107076	0.337455
0.600000	0.167758	0.536804	0.110450	0.337359
0.610000	0.173160	0.543610	0.113824	0.337470
0.620000	0.178630	0.550280	0.117201	0.337841
0.630000	0.184165	0.556829	0.120582	0.338518
0.640000	0.189766	0.563274	0.123972	0.339544
0.650000	0.195431	0.569630	0.127374	0.340956
0.660000	0.201158	0.575909	0.130793	0.342786
0.670000	0.206948	0.582119	0.134231	0.345060
0.680000	0.212800	0.588264	0.137695	0.347798
0.690000	0.218714	0.594341	0.141189	0.351013
0.700000	0.224687	0.600345	0.144717	0.354712
0.710000	0.230720	0.606265	0.148285	0.358897
0.720000	0.236812	0.612089	0.151897	0.363561
0.730000	0.242962	0.617804	0.155558	0.368692
0.740000	0.249168	0.623394	0.159272	0.374271
0.750000	0.255429	0.628846	0.163044	0.380272
0.760000	0.261744	0.634151	0.166879	0.386665
0.770000	0.268111	0.639305	0.170779	0.393411
0.780000	0.274530	0.644305	0.174748	0.400469
0.790000	0.280997	0.649154	0.178789	0.407790
0.800000	0.287512	0.653856	0.182905	0.415322
0.810000	0.294074	0.658420	0.187096	0.423011
0.820000	0.300680	0.662854	0.191365	0.430799
0.830000	0.307330	0.667168	0.195712	0.438625
0.840000	0.314023	0.671368	0.200138	0.446429
0.850000	0.320757	0.675459	0.204641	0.454150
0.860000	0.327532	0.679444	0.209220	0.461725
0.870000	0.334346	0.683318	0.213874	0.469095
0.880000	0.341198	0.687079	0.218601	0.476203
0.890000	0.348087	0.690719	0.223397	0.482993
0.900000	0.355012	0.694230	0.228260	0.489412
0.910000	0.361971	0.697603	0.233184	0.495411
0.920000	0.368964	0.700833	0.238166	0.500946
0.930000	0.375987	0.703913	0.243201	0.505977
0.940000	0.383041	0.706842	0.248284	0.510470
0.950000	0.390124	0.709622	0.253409	0.514393
0.960000	0.397233	0.712257	0.258570	0.517726
0.970000	0.404368	0.714756	0.263761	0.520449
0.980000	0.411528	0.717128	0.268977	0.522551
0.990000	0.418711	0.719385	0.274210	0.524029
1.000000	0.425915	0.721536	0.279456	0.524884
1.010000	0.433141	0.723592	0.284706	0.525126
1.020000	0.440387	0.725559	0.289956	0.524771
1.030000	0.447652	0.727442	0.295200	0.523840
1.040000	0.454935	0.729240	0.300431	0.522361
1.050000	0.462236	0.730950	0.305645	0.520371
1.060000	0.469554	0.732568	0.310837	0.517907
1.070000	0.476887	0.734087	0.316002	0.515014
1.080000	0.484235	0.735499	0.321136	0.511741
1.090000	0.491597	0.736794	0.326235	0.508140
1.100000	0.498971	0.737970	0.331298	0.504266
1.110000	0.506356	0.739023	0.336320	0.500176
1.120000	0.513751	0.739954	0.341301	0.495929
1.130000	0.521155	0.740764	0.346238	0.491584
1.140000	0.528566	0.741461	0.351132	0.487200
1.150000	0.535984	0.742052	0.355982	0.482836
1.160000	0.543407	0.742544	0.360789	0.478549
1.170000	0.550834	0.742945	0.365554	0.474394
1.180000	0.558265	0.743259	0.370278	0.470424
1.190000	0.565699	0.743490	0.374963	0.466689
1.200000	0.573135	0.743634	0.379612	0.463234
1.210000	0.580571	0.743687	0.384229	0.460101
1.220000	0.588008	0.743635	0.388816	0.457328
1.230000	0.595444	0.743464	0.393377	0.454945
1.240000	0.602877	0.743155	0.397916	0.452978
1.250000	0.610306	0.742691	0.402438	0.451446
1.260000	0.617730	0.742052	0.406946	0.450361
1.270000	0.625147	0.741219	0.411446	0.449730
1.280000	0.632554	0.740180	0.415942	0.449551
1.290000	0.639950	0.738926	0.420439	0.449816
1.300000	0.647332	0.737452	0.424940	0.450507
1.310000	0.654698	0.735758	0.429450	0.451604
1.320000	0.662046	0.733849	0.433974	0.453076
1.330000	0.669374	0.731737	0.438513	0.454889
1.340000	0.676680	0.729433	0.443072	0.457002
1.350000	0.683962	0.726951	0.447654	0.459368
1.360000	0.691219	0.724304	0.452260	0.461939
1.370000	0.698448	0.721503	0.456893	0.464659
1.380000	0.705648	0.718559	0.461554	0.467474
1.390000	0.712819	0.715477	0.466243	0.470324
1.400000	0.719957	0.712260	0.470960	0.473149
1.410000	0.727063	0.708907	0.475706	0.475890
1.420000	0.734135	0.705417	0.480478	0.478486
1.430000	0.741171	0.701784	0.485275	0.480879
1.440000	0.748170	0.698003	0.490094	0.483010
1.450000	0.755131	0.694069	0.494934	0.484825
1.460000	0.762051	0.689980	0.499790	0.486270
1.470000	0.768930	0.685734	0.504658	0.487297
1.480000	0.775765	0.681334	0.509534	0.487861
1.490000	0.782556	0.676783	0.514413	0.487920
1.500000	0.789300	0.672087	0.519291	0.487441
1.510000	0.795997	0.667255	0.524160	0.486392
1.520000	0.802645	0.662297	0.529016	0.484750
1.530000	0.809243	0.657222	0.533853	0.482498
1.540000	0.815789	0.652039	0.538664	0.479625
1.550000	0.822283	0.646754	0.543444	0.476126
1.560000	0.828724	0.641373	0.548185	0.472004
1.570000	0.835110	0.635899	0.552882	0.467268
1.580000	0.841442	0.630332	0.557528	0.461935
1.590000	0.847717	0.624671	0.562118	0.456027
1.600000	0.853935	0.618912	0.566647	0.449572
1.610000	0.860095	0.613052	0.571108	0.442605
1.620000	0.866195	0.607087	0.575497	0.435166
1.630000	0.872236	0.601013	0.579810	0.427298
1.640000	0.878215	0.594830	0.584042	0.419051
1.650000	0.884132	0.588535	0.588190	0.410476
1.660000	0.889986	0.582130	0.592251	0.401628
1.670000	0.895774	0.575618	0.596222	0.392564
1.680000	0.901498	0.569003	0.600101	0.383343
1.690000	0.907154	0.562289	0.603888	0.374025
1.700000	0.912743	0.555481	0.607582	0.364668
1.710000	0.918263	0.548583	0.611182	0.355333
1.720000	0.923714	0.541599	0.614689	0.346076
1.730000	0.929095	0.534533	0.618104	0.336954
1.740000	0.934405	0.527384	0.621428	0.328021
1.750000	0.939643	0.520154	0.624665	0.319327
1.760000	0.944808	0.512839	0.627816	0.310918
1.770000	0.949899	0.505439	0.630884	0.302836
1.780000	0.954916	0.497950	0.633874	0.295120
1.790000	0.959858	0.490369	0.636788	0.287802
1.800000	0.964723	0.482695	0.639631	0.280906
1.810000	0.969511	0.474926	0.642408	0.274456
1.820000	0.974221	0.467060	0.645122	0.268463
1.830000	0.978852	0.459100	0.647779	0.262937
1.840000	0.983403	0.451045	0.650382	0.257878
1.850000	0.987873	0.442897	0.652938	0.253281
1.860000	0.992261	0.434659	0.655449	0.249136
1.870000	0.996566	0.426331	0.657922	0.245424
1.880000	1.000787	0.417915	0.660359	0.242123
1.890000	1.004924	0.409411	0.662765	0.239202
1.900000	1.008975	0.400819	0.665144	0.236629
1.910000	1.012940	0.392139	0.667499	0.234364
1.920000	1.016817	0.383368	0.669833	0.232364
1.930000	1.020607	0.374507	0.672147	0.230581
1.940000	1.024307	0.365554	0.674445	0.228966
1.950000	1.027918	0.356510	0.676727	0.227465
1.960000	1.031437	0.347374	0.678994	0.226025
1.970000	1.034865	0.338149	0.681247	0.224589
1.980000	1.038200	0.328840	0.683486	0.223101
1.990000	1.041441	0.319453	0.685709	0.221505
2.000000	1.044589	0.309993	0.687915	0.219745
2.010000	1.047641	0.300470	0.690103	0.217768
2.020000	1.050598	0.290889	0.692270	0.215523
2.030000	1.053459	0.281259	0.694413	0.212961
2.040000	1.056223	0.271586	0.696528	0.210039
2.050000	1.058890	0.261876	0.698612	0.206715
2.060000	1.061460	0.252133	0.700661	0.202954
2.070000	1.063933	0.242358	0.702670	0.198726
2.080000	1.066307	0.232554	0.704634	0.194006
2.090000	1.068584	0.222719	0.706548	0.188776
2.100000	1.070762	0.212850	0.708407	0.183021
2.110000	1.072841	0.202946	0.710207	0.176736
2.120000	1.074820	0.193004	0.711940	0.169920
2.130000	1.076701	0.183022	0.713603	0.162578
2.140000	1.078481	0.173000	0.715190	0.154722
2.150000	1.080160	0.162938	0.716696	0.146369
2.160000	1.081739	0.152838	0.718116	0.137542
2.170000	1.083217	0.142701	0.719445	0.128270
2.180000	1.084593	0.132532	0.720680	0.118586
2.190000	1.085868	0.122337	0.721816	0.108529
2.200000	1.087040	0.112118	0.722850	0.098140
2.210000	1.088110	0.101881	0.723778	0.087465
2.220000	1.089078	0.091629	0.724598	0.076553
2.230000	1.089943	0.081367	0.725308	0.065456
2.240000	1.090705	0.071096	0.725907	0.054228
2.250000	1.091364	0.060819	0.726392	0.042922
2.260000	1.091921	0.050534	0.726765	0.031596
2.270000	1.092375	0.040243	0.727025	0.020304
2.280000	1.092726	0.029945	0.727171	0.009101
2.290000	1.092974	0.019637	0.727207	-0.001959
2.300000	1.093119	0.009319	0.727133	-0.012825
2.310000	1.093160	-0.001012	0.726951	-0.023449
2.320000	1.093098	-0.011355	0.726665	-0.033785
2.330000	1.092933	-0.021713	0.726277	-0.043790
2.340000	1.092664	-0.032086	0.725790	-0.053429
2.350000	1.092291	-0.042474	0.725209	-0.062667
2.360000	1.091815	-0.052878	0.724538	-0.071478
2.370000	1.091234	-0.063300	0.723781	-0.079839
2.380000	1.090549	-0.073739	0.722943	-0.087735
2.390000	1.089759	-0.084197	0.722028	-0.095153
2.400000	1.088865	-0.094673	0.721042	-0.102090
2.410000	1.087865	-0.105167	0.719988	-0.108547
2.420000	1.086761	-0.115679	0.718872	-0.114532
2.430000	1.085552	-0.126205	0.717699	-0.120057
2.440000	1.084237	-0.136742	0.716473	-0.125141
2.450000	1.082817	-0.147281	0.715198	-0.129809
2.460000	1.081291	-0.157815	0.713878	-0.134090
2.470000	1.079661	-0.168333	0.712517	-0.138016
2.480000	1.077925	-0.178819	0.711119	-0.141627
2.490000	1.076084	-0.189262	0.709685	-0.144962
2.500000	1.074140	-0.199647	0.708220	-0.148066
2.510000	1.072092	-0.209958	0.706725	-0.150984
2.520000	1.069941	-0.220182	0.705201	-0.153764
2.530000	1.067688	-0.230307	0.703650	-0.156453
2.540000	1.065335	-0.240323	0.702072	-0.159100
2.550000	1.062882	-0.250225	0.700468	-0.161753
2.560000	1.060331	-0.260011	0.698837	-0.164457
2.570000	1.057683	-0.269684	0.697178	-0.167258
2.580000	1.054938	-0.279250	0.695491	-0.170197
2.590000	1.052098	-0.288721	0.693774	-0.173315
2.600000	1.049164	-0.298103	0.692024	-0.176648
2.610000	1.046136	-0.307410	0.690240	-0.180229
2.620000	1.043016	-0.316655	0.688419	-0.184088
2.630000	1.039803	-0.325847	0.686557	-0.188250
2.640000	1.036499	-0.334994	0.684652	-0.192737
2.650000	1.033103	-0.344100	0.682701	-0.197566
2.660000	1.029617	-0.353167	0.680700	-0.202750
2.670000	1.026040	-0.362193	0.678645	-0.208295
2.680000	1.022373	-0.371172	0.676533	-0.214205
2.690000	1.018617	-0.380095	0.674360	-0.220478
2.700000	1.014772	-0.388954	0.672122	-0.227109
2.710000	1.010838	-0.397738	0.669816	-0.234084
2.720000	1.006817	-0.406436	0.667439	-0.241388
2.730000	1.002710	-0.415039	0.664988	-0.249000
2.740000	0.998517	-0.423544	0.662458	-0.256894
2.750000	0.994239	-0.431944	0.659849	-0.265042
2.760000	0.989878	-0.440240	0.657157	-0.273409
2.770000	0.985435	-0.448433	0.654380	-0.281960
2.780000	0.980910	-0.456525	0.651517	-0.290654
2.790000	0.976304	-0.464524	0.648567	-0.299450
2.800000	0.971620	-0.472436	0.645528	-0.308305
2.810000	0.966856	-0.480267	0.642401	-0.317173
2.820000	0.962015	-0.488022	0.639185	-0.326009
2.830000	0.957096	-0.495705	0.635881	-0.334767
2.840000	0.952101	-0.503318	0.632490	-0.343403
2.850000	0.947030	-0.510862	0.629013	-0.351872
2.860000	0.941884	-0.518336	0.625453	-0.360134
2.870000	0.936663	-0.525735	0.621811	-0.368146
2.880000	0.931369	-0.533053	0.618091	-0.375873
2.890000	0.926002	-0.540285	0.614295	-0.383280
2.900000	0.920564	-0.547425	0.610426	-0.390335
2.910000	0.915054	-0.554467	0.606489	-0.397011
2.920000	0.909475	-0.561404	0.602488	-0.403285
2.930000	0.903827	-0.568233	0.598425	-0.409136
2.940000	0.898111	-0.574949	0.594306	-0.414550
2.950000	0.892328	-0.581551	0.590136	-0.419516
2.960000	0.886480	-0.588035	0.585917	-0.424028
2.970000	0.880568	-0.594402	0.581657	-0.428085
2.980000	0.874592	-0.600650	0.577357	-0.431688
2.990000	0.868555	-0.606779	0.573024	-0.434847
3.000000	0.862457	-0.612789	0.568662	-0.437573
3.010000	0.856300	-0.618678	0.564274	-0.439882
3.020000	0.850084	-0.624447	0.559865	-0.441794
3.030000	0.843811	-0.630096	0.555440	-0.443334
3.040000	0.837482	-0.635625	0.551000	-0.444529
3.050000	0.831099	-0.641034	0.546550	-0.445409
3.060000	0.824662	-0.646326	0.542093	-0.446009
3.070000	0.818173	-0.651505	0.537631	-0.446364
3.080000	0.811632	-0.656572	0.533166	-0.446511
3.090000	0.805042	-0.661532	0.528701	-0.446489
3.100000	0.798402	-0.666389	0.524237	-0.446339
3.110000	0.791714	-0.671145	0.519775	-0.446102
3.120000	0.784980	-0.675806	0.515315	-0.445818
3.130000	0.778199	-0.680373	0.510858	-0.445527
3.140000	0.771372	-0.684846	0.506404	-0.445271
3.150000	0.764502	-0.689223	0.501953	-0.445085
3.160000	0.757588	-0.693501	0.497502	-0.445008
3.170000	0.750632	-0.697673	0.493052	-0.445074
3.180000	0.743635	-0.701732	0.488600	-0.445314
3.190000	0.736598	-0.705666	0.484145	-0.445756
3.200000	0.729522	-0.709466	0.479684	-0.446426
3.210000	0.722409	-0.713122	0.475216	-0.447343
3.220000	0.715260	-0.716623	0.470736	-0.448526
3.230000	0.708077	-0.719964	0.466244	-0.449984
3.240000	0.700862	-0.723137	0.461736	-0.451726
3.250000	0.693615	-0.726142	0.457209	-0.453755
3.260000	0.686339	-0.728979	0.452660	-0.456067
3.270000	0.679036	-0.731651	0.448086	-0.458656
3.280000	0.671707	-0.734164	0.443486	-0.461510
3.290000	0.664353	-0.736528	0.438855	-0.464613
3.300000	0.656977	-0.738754	0.434193	-0.467945
3.310000	0.649579	-0.740851	0.429496	-0.471481
3.320000	0.642160	-0.742829	0.424763	-0.475194
3.330000	0.634722	-0.744694	0.419991	-0.479055
3.340000	0.627267	-0.746455	0.415181	-0.483029
3.350000	0.619794	-0.748115	0.410331	-0.487081
3.360000	0.612305	-0.749673	0.405439	-0.491177
3.370000	0.604801	-0.751127	0.400507	-0.495277
3.380000	0.597282	-0.752474	0.395534	-0.499343
3.390000	0.589751	-0.753707	0.390520	-0.503336
3.400000	0.582209	-0.754819	0.385468	-0.507218
3.410000	0.574656	-0.755800	0.380377	-0.510950
3.420000	0.567093	-0.756641	0.375249	-0.514496
3.430000	0.559523	-0.757337	0.370087	-0.517819
3.440000	0.551947	-0.757884	0.364894	-0.520884
3.450000	0.544366	-0.758279	0.359671	-0.523660
3.460000	0.536782	-0.758523	0.354422	-0.526118
3.470000	0.529196	-0.758617	0.349149	-0.528229
3.480000	0.521610	-0.758567	0.343858	-0.529970
3.490000	0.514025	-0.758378	0.338551	-0.531320
3.500000	0.506443	-0.758059	0.333233	-0.532264
3.510000	0.498864	-0.757619	0.327907	-0.532788
3.520000	0.491291	-0.757067	0.322579	-0.532883
3.530000	0.483723	-0.756412	0.317251	-0.532546
3.540000	0.476163	-0.755661	0.311929	-0.531776
3.550000	0.468611	-0.754821	0.306617	-0.530580
3.560000	0.461067	-0.753895	0.301319	-0.528966
3.570000	0.453533	-0.752887	0.296039	-0.526947
3.580000	0.446009	-0.751796	0.290781	-0.524542
3.590000	0.438497	-0.750621	0.285550	-0.521772
3.600000	0.430997	-0.749358	0.280347	-0.518663
3.610000	0.423510	-0.748002	0.275177	-0.515244
3.620000	0.416038	-0.746543	0.270043	-0.511546
3.630000	0.408580	-0.744973	0.264947	-0.507604
3.640000	0.401139	-0.743283	0.259892	-0.503452
3.650000	0.393715	-0.741460	0.254879	-0.499129
3.660000	0.386310	-0.739495	0.249910	-0.494674
3.670000	0.378925	-0.737374	0.244986	-0.490123
3.680000	0.371563	-0.735089	0.240107	-0.485516
3.690000	0.364224	-0.732632	0.235275	-0.480890
3.700000	0.356911	-0.729993	0.230490	-0.476281
3.710000	0.349625	-0.727168	0.225750	-0.471723
3.720000	0.342368	-0.724154	0.221055	-0.467248
3.730000	0.335142	-0.720949	0.216404	-0.462885
3.740000	0.327950	-0.717556	0.211797	-0.458662
3.750000	0.320792	-0.713982	0.207231	-0.454600
3.760000	0.313671	-0.710231	0.202704	-0.450719
3.770000	0.306588	-0.706314	0.198215	-0.447036
3.780000	0.299545	-0.702242	0.193763	-0.443563
3.790000	0.292543	-0.698024	0.189343	-0.440307
3.800000	0.285585	-0.693673	0.184956	-0.437273
3.810000	0.278670	-0.689198	0.180597	-0.434463
3.820000	0.271801	-0.684609	0.176266	-0.431873
3.830000	0.264979	-0.679915	0.171959	-0.429497
3.840000	0.258203	-0.675121	0.167675	-0.427325
3.850000	0.251476	-0.670233	0.163412	-0.425344
3.860000	0.244799	-0.665254	0.159168	-0.423539
3.870000	0.238172	-0.660185	0.154941	-0.421890
3.880000	0.231596	-0.655027	0.150729	-0.420376
3.890000	0.225071	-0.649780	0.146533	-0.418973
3.900000	0.218600	-0.644444	0.142350	-0.417656
3.910000	0.212183	-0.639019	0.138179	-0.416398
3.920000	0.205820	-0.633504	0.134022	-0.415170
3.930000	0.199513	-0.627901	0.129876	-0.413943
3.940000	0.193262	-0.622208	0.125743	-0.412687
3.950000	0.187069	-0.616427	0.121623	-0.411371
3.960000	0.180934	-0.610557	0.117516	-0.409965
3.970000	0.174858	-0.604600	0.113424	-0.408440
3.980000	0.168843	-0.598555	0.109347	-0.406767
3.990000	0.162888	-0.592421	0.105289	-0.404918
4.000000	0.156994	-0.586195	0.101250	-0.402868
4.010000	0.151164	-0.579874	0.097232	-0.400591
4.020000	0.145397	-0.573456	0.093239	-0.398067
4.030000	0.139695	-0.566936	0.089272	-0.395275
4.040000	0.134059	-0.560314	0.085334	-0.392197
4.050000	0.128489	-0.553586	0.081429	-0.388820
4.060000	0.122987	-0.546753	0.077559	-0.385131
4.070000	0.117555	-0.539814	0.073727	-0.381122
4.080000	0.112192	-0.532773	0.069937	-0.376787
4.090000	0.106899	-0.525634	0.066193	-0.372124
4.100000	0.101679	-0.518405	0.062496	-0.367133
4.110000	0.096532	-0.511093	0.058851	-0.361818
4.120000	0.091458	-0.503708	0.055261	-0.356187
4.130000	0.086458	-0.496260	0.051728	-0.350250
4.140000	0.081533	-0.488758	0.048257	-0.344021
4.150000	0.076683	-0.481210	0.044849	-0.337516
4.160000	0.071908	-0.473623	0.041507	-0.330756
4.170000	0.067210	-0.466003	0.038234	-0.323764
4.180000	0.062589	-0.458352	0.035033	-0.316563
4.190000	0.058043	-0.450671	0.031904	-0.309180
4.200000	0.053575	-0.442958	0.028850	-0.301646
4.210000	0.049184	-0.435210	0.025871	-0.293991
4.220000	0.044871	-0.427422	0.022970	-0.286245
4.230000	0.040636	-0.419588	0.020147	-0.278442
4.240000	0.036480	-0.411699	0.017401	-0.270613
4.250000	0.032402	-0.403752	0.014734	-0.262790
4.260000	0.028405	-0.395738	0.012145	-0.255005
4.270000	0.024488	-0.387654	0.009634	-0.247288
4.280000	0.020652	-0.379496	0.007199	-0.239668
4.290000	0.016898	-0.371259	0.004840	-0.232171
4.300000	0.013227	-0.362944	0.002555	-0.224822
4.310000	0.009639	-0.354548	0.000343	-0.217643
4.320000	0.006136	-0.346072	-0.001798	-0.210653
4.330000	0.002718	-0.337516	-0.003871	-0.203868
4.340000	-0.000614	-0.328883	-0.005876	-0.197302
4.350000	-0.003859	-0.320172	-0.007817	-0.190964
4.360000	-0.007017	-0.311388	-0.009696	-0.184860
4.370000	-0.010087	-0.302533	-0.011515	-0.178993
4.380000	-0.013067	-0.293611	-0.013277	-0.173363
4.390000	-0.015959	-0.284628	-0.014983	-0.167966
4.400000	-0.018760	-0.275589	-0.016637	-0.162794
4.410000	-0.021470	-0.266503	-0.018240	-0.157837
4.420000	-0.024090	-0.257380	-0.019794	-0.153081
4.430000	-0.026618	-0.248229	-0.021302	-0.148512
4.440000	-0.029054	-0.239061	-0.022765	-0.144109
4.450000	-0.031399	-0.229887	-0.024185	-0.139854
4.460000	-0.033652	-0.220718	-0.025563	-0.135724
4.470000	-0.035813	-0.211561	-0.026900	-0.131695
4.480000	-0.037883	-0.202424	-0.028197	-0.127743
4.490000	-0.039862	-0.193311	-0.029455	-0.123843
4.500000	-0.041750	-0.184222	-0.030674	-0.119969
4.510000	-0.043546	-0.175155	-0.031854	-0.116096
4.520000	-0.045253	-0.166105	-0.032996	-0.112199
4.530000	-0.046869	-0.157063	-0.034098	-0.108253
4.540000	-0.048394	-0.148017	-0.035160	-0.104233
4.550000	-0.049829	-0.138953	-0.036182	-0.100118
4.560000	-0.051173	-0.129857	-0.037162	-0.095884
4.570000	-0.052426	-0.120718	-0.038099	-0.091511
4.580000	-0.053587	-0.111524	-0.038992	-0.086980
4.590000	-0.054656	-0.102264	-0.039838	-0.082273
4.600000	-0.055632	-0.092933	-0.040637	-0.077374
4.610000	-0.056515	-0.083529	-0.041385	-0.072267
4.620000	-0.057302	-0.074054	-0.042082	-0.066942
4.630000	-0.057995	-0.064514	-0.042723	-0.061387
4.640000	-0.058593	-0.054918	-0.043308	-0.055595
4.650000	-0.059094	-0.045281	-0.043834	-0.049560
4.660000	-0.059498	-0.035617	-0.044299	-0.043280
4.670000	-0.059806	-0.025944	-0.044699	-0.036755
4.680000	-0.060017	-0.016277	-0.045033	-0.029988
4.690000	-0.060132	-0.006633	-0.045298	-0.022984
4.700000	-0.060150	0.002978	-0.045492	-0.015754
4.710000	-0.060072	0.012543	-0.045613	-0.008309
4.720000	-0.059899	0.022056	-0.045658	-0.000664
4.730000	-0.059631	0.031514	-0.045625	0.007162
4.740000	-0.059269	0.040916	-0.045514	0.015150
4.750000	-0.058813	0.050265	-0.045322	0.023275
4.760000	-0.058264	0.059568	-0.045048	0.031515
4.770000	-0.057622	0.068832	-0.044691	0.039842
4.780000	-0.056887	0.078068	-0.044251	0.048228
4.790000	-0.056061	0.087285	-0.043727	0.056646
4.800000	-0.055142	0.096493	-0.043118	0.065066
4.810000	-0.054131	0.105700	-0.042425	0.073460
4.820000	-0.053028	0.114914	-0.041649	0.081798
