Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000069	0.013799	0.000000	0.000040
0.020000	0.000276	0.027608	0.000001	0.000232
0.030000	0.000621	0.041420	0.000006	0.000683
0.040000	0.001104	0.055228	0.000016	0.001497
0.050000	0.001726	0.069026	0.000037	0.002772
0.060000	0.002485	0.082807	0.000073	0.004601
0.070000	0.003382	0.096565	0.000131	0.007070
0.080000	0.004416	0.110298	0.000217	0.010255
0.090000	0.005588	0.124002	0.000339	0.014224
0.100000	0.006896	0.137676	0.000505	0.019034
0.110000	0.008341	0.151319	0.000723	0.024734
0.120000	0.009922	0.164932	0.001002	0.031359
0.130000	0.011640	0.178515	0.001353	0.038932
0.140000	0.013492	0.192066	0.001784	0.047467
0.150000	0.015481	0.205581	0.002305	0.056964
0.160000	0.017604	0.219055	0.002927	0.067411
0.170000	0.019862	0.232481	0.003657	0.078784
0.180000	0.022253	0.245847	0.004505	0.091050
0.190000	0.024778	0.259143	0.005481	0.104161
0.200000	0.027436	0.272355	0.006591	0.118061
0.210000	0.030225	0.285469	0.007844	0.132683
0.220000	0.033145	0.298473	0.009247	0.147951
0.230000	0.036194	0.311358	0.010805	0.163780
0.240000	0.039372	0.324120	0.012524	0.180079
0.250000	0.042676	0.336758	0.014408	0.196749
0.260000	0.046106	0.349277	0.016460	0.213686
0.270000	0.049661	0.361689	0.018682	0.230783
0.280000	0.053340	0.374003	0.021076	0.247932
0.290000	0.057141	0.386243	0.023641	0.265021
0.300000	0.061065	0.398430	0.026376	0.281941
0.310000	0.065110	0.410582	0.029279	0.298585
0.320000	0.069276	0.422723	0.032346	0.314848
0.330000	0.073564	0.434874	0.035574	0.330632
0.340000	0.077974	0.447051	0.038957	0.345843
0.350000	0.082505	0.459267	0.042489	0.360398
0.360000	0.087159	0.471529	0.046162	0.374219
0.370000	0.091936	0.483839	0.049970	0.387240
0.380000	0.096836	0.496195	0.053904	0.399404
0.390000	0.101860	0.508592	0.057955	0.410667
0.400000	0.107008	0.521021	0.062114	0.420993
0.410000	0.112281	0.533467	0.066372	0.430362
0.420000	0.117678	0.545916	0.070718	0.438761
0.430000	0.123199	0.558353	0.075144	0.446193
0.440000	0.128845	0.570762	0.079639	0.452671
0.450000	0.134614	0.583125	0.084194	0.458218
0.460000	0.140507	0.595427	0.088801	0.462870
0.470000	0.146522	0.607651	0.093449	0.466671
0.480000	0.152659	0.619777	0.098131	0.469677
0.490000	0.158917	0.631790	0.102840	0.471950
0.500000	0.165295	0.643669	0.107568	0.473561
0.510000	0.171790	0.655395	0.112309	0.474587
0.520000	0.178402	0.666949	0.117058	0.475112
0.530000	0.185129	0.678314	0.121810	0.475223
0.540000	0.191968	0.689472	0.126562	0.475009
0.550000	0.198917	0.700409	0.131310	0.474564
0.560000	0.205975	0.711116	0.136052	0.473979
0.570000	0.213139	0.721587	0.140789	0.473348
0.580000	0.220406	0.731823	0.145519	0.472761
0.590000	0.227775	0.741829	0.150245	0.472305
0.600000	0.235242	0.751616	0.154966	0.472065
0.610000	0.242806	0.761199	0.159687	0.472120
0.620000	0.250465	0.770596	0.164410	0.472544
0.630000	0.258218	0.779826	0.169139	0.473405
0.640000	0.266061	0.788908	0.173880	0.474764
0.650000	0.273995	0.797859	0.178636	0.476673
0.660000	0.282018	0.806694	0.183415	0.479179
0.670000	0.290129	0.815423	0.188222	0.482318
0.680000	0.298326	0.824049	0.193064	0.486120
0.690000	0.306609	0.832572	0.197947	0.490604
0.700000	0.314977	0.840983	0.202878	0.495779
0.710000	0.323429	0.849270	0.207865	0.501649
0.720000	0.331962	0.857414	0.212913	0.508203
0.730000	0.340576	0.865399	0.218031	0.515424
0.740000	0.349270	0.873206	0.223224	0.523285
0.750000	0.358040	0.880822	0.228499	0.531749
0.760000	0.366885	0.888236	0.233861	0.540772
0.770000	0.375804	0.895440	0.239316	0.550299
0.780000	0.384793	0.902432	0.244868	0.560271
0.790000	0.393852	0.909216	0.250522	0.570619
0.800000	0.402977	0.915799	0.256282	0.581270
0.810000	0.412167	0.922190	0.262149	0.592145
0.820000	0.421420	0.928400	0.268125	0.603161
0.830000	0.430735	0.934442	0.274212	0.614234
0.840000	0.440109	0.940323	0.280410	0.625276
0.850000	0.449541	0.946051	0.286717	0.636201
0.860000	0.459029	0.951626	0.293133	0.646921
0.870000	0.468573	0.957048	0.299655	0.657351
0.880000	0.478170	0.962312	0.306279	0.667408
0.890000	0.487818	0.967407	0.313001	0.677013
0.900000	0.497517	0.972326	0.319817	0.686093
0.910000	0.507264	0.977057	0.326721	0.694576
0.920000	0.517058	0.981593	0.333707	0.702401
0.930000	0.526895	0.985928	0.340767	0.709510
0.940000	0.536775	0.990059	0.347894	0.715855
0.950000	0.546696	0.993989	0.355081	0.721393
0.960000	0.556655	0.997723	0.362319	0.726091
0.970000	0.566650	1.001274	0.369600	0.729925
0.980000	0.576679	1.004650	0.376915	0.732880
0.990000	0.586742	1.007867	0.384255	0.734951
1.000000	0.596836	1.010937	0.391611	0.736139
1.010000	0.606961	1.013872	0.398975	0.736460
1.020000	0.617113	1.016682	0.406337	0.735936
1.030000	0.627294	1.019368	0.413691	0.734598
1.040000	0.637500	1.021933	0.421027	0.732488
1.050000	0.647732	1.024371	0.428338	0.729653
1.060000	0.657987	1.026677	0.435618	0.726150
1.070000	0.668265	1.028841	0.442859	0.722043
1.080000	0.678564	1.030853	0.450057	0.717402
1.090000	0.688882	1.032703	0.457205	0.712298
1.100000	0.699217	1.034386	0.464301	0.706812
1.110000	0.709569	1.035895	0.471341	0.701023
1.120000	0.719934	1.037231	0.478321	0.695015
1.130000	0.730313	1.038400	0.485241	0.688872
1.140000	0.740702	1.039405	0.492098	0.682678
1.150000	0.751100	1.040255	0.498894	0.676515
1.160000	0.761507	1.040961	0.505629	0.670464
1.170000	0.771919	1.041530	0.512304	0.664604
1.180000	0.782337	1.041970	0.518922	0.659009
1.190000	0.792758	1.042281	0.525485	0.653748
1.200000	0.803182	1.042462	0.531998	0.648887
1.210000	0.813607	1.042501	0.538465	0.644484
1.220000	0.824031	1.042386	0.544890	0.640590
1.230000	0.834454	1.042100	0.551278	0.637249
1.240000	0.844873	1.041619	0.557637	0.634495
1.250000	0.855286	1.040918	0.563970	0.632357
1.260000	0.865690	1.039975	0.570286	0.630850
1.270000	0.876084	1.038770	0.576589	0.629982
1.280000	0.886465	1.037283	0.582888	0.629751
1.290000	0.896829	1.035505	0.589186	0.630144
1.300000	0.907174	1.033431	0.595492	0.631139
1.310000	0.917497	1.031060	0.601811	0.632703
1.320000	0.927794	1.028399	0.608148	0.634795
1.330000	0.938064	1.025463	0.614509	0.637366
1.340000	0.948302	1.022265	0.620897	0.640358
1.350000	0.958508	1.018823	0.627317	0.643709
1.360000	0.968678	1.015153	0.633772	0.647346
1.370000	0.978810	1.011272	0.640265	0.651194
1.380000	0.988903	1.007190	0.646796	0.655174
1.390000	0.998954	1.002917	0.653368	0.659205
1.400000	1.008961	0.998456	0.659980	0.663203
1.410000	1.018922	0.993806	0.666632	0.667084
1.420000	1.028836	0.988965	0.673321	0.670762
1.430000	1.038701	0.983928	0.680046	0.674155
1.440000	1.048514	0.978690	0.686803	0.677182
1.450000	1.058274	0.973243	0.693588	0.679767
1.460000	1.067978	0.967586	0.700397	0.681834
1.470000	1.077625	0.961717	0.707223	0.683316
1.480000	1.087212	0.955638	0.714061	0.684149
1.490000	1.096737	0.949356	0.720904	0.684277
1.500000	1.106198	0.942878	0.727744	0.683651
1.510000	1.115594	0.936215	0.734574	0.682228
1.520000	1.124922	0.929380	0.741386	0.679977
1.530000	1.134181	0.922385	0.748171	0.676872
1.540000	1.143369	0.915241	0.754920	0.672899
1.550000	1.152485	0.907955	0.761626	0.668052
1.560000	1.161528	0.900536	0.768279	0.662335
1.570000	1.170496	0.892985	0.774870	0.655761
1.580000	1.179387	0.885305	0.781391	0.648354
1.590000	1.188201	0.877492	0.787834	0.640144
1.600000	1.196937	0.869543	0.794191	0.631171
1.610000	1.205592	0.861454	0.800455	0.621485
1.620000	1.214165	0.853220	0.806619	0.611141
1.630000	1.222656	0.844837	0.812676	0.600200
1.640000	1.231061	0.836300	0.818621	0.588731
1.650000	1.239381	0.827611	0.824449	0.576807
1.660000	1.247613	0.818768	0.830156	0.564503
1.670000	1.255756	0.809775	0.835738	0.551901
1.680000	1.263808	0.800639	0.841193	0.539082
1.690000	1.271768	0.791365	0.846519	0.526129
1.700000	1.279635	0.781956	0.851716	0.513126
1.710000	1.287407	0.772419	0.856782	0.500155
1.720000	1.295083	0.762759	0.861719	0.487297
1.730000	1.302662	0.752978	0.866529	0.474630
1.740000	1.310142	0.743077	0.871213	0.462228
1.750000	1.317523	0.733057	0.875774	0.450162
1.760000	1.324803	0.722914	0.880217	0.438497
1.770000	1.331981	0.712647	0.884546	0.427291
1.780000	1.339055	0.702252	0.888765	0.416595
1.790000	1.346025	0.691725	0.892880	0.406455
1.800000	1.352889	0.681065	0.896896	0.396906
1.810000	1.359646	0.670269	0.900820	0.387978
1.820000	1.366294	0.659335	0.904657	0.379688
1.830000	1.372832	0.648266	0.908416	0.372047
1.840000	1.379259	0.637062	0.912101	0.365057
1.850000	1.385573	0.625726	0.915719	0.358711
1.860000	1.391773	0.614261	0.919277	0.352990
1.870000	1.397858	0.602669	0.922781	0.347872
1.880000	1.403826	0.590950	0.926236	0.343322
1.890000	1.409677	0.579107	0.929649	0.339300
1.900000	1.415408	0.567141	0.933024	0.335757
1.910000	1.421019	0.555050	0.936365	0.332639
1.920000	1.426509	0.542834	0.939678	0.329884
1.930000	1.431875	0.530491	0.942964	0.327428
1.940000	1.437118	0.518022	0.946227	0.325200
1.950000	1.442235	0.505426	0.949469	0.323126
1.960000	1.447226	0.492707	0.952690	0.321130
1.970000	1.452089	0.479866	0.955891	0.319134
1.980000	1.456823	0.466911	0.959072	0.317059
1.990000	1.461427	0.453848	0.962232	0.314829
2.000000	1.465900	0.440685	0.965368	0.312364
2.010000	1.470240	0.427435	0.968478	0.309593
2.020000	1.474448	0.414106	0.971559	0.306443
2.030000	1.478522	0.400709	0.974606	0.302847
2.040000	1.482462	0.387252	0.977614	0.298745
2.050000	1.486267	0.373742	0.980579	0.294080
2.060000	1.489937	0.360185	0.983494	0.288804
2.070000	1.493471	0.346584	0.986353	0.282875
2.080000	1.496868	0.332940	0.989149	0.276260
2.090000	1.500129	0.319253	0.991875	0.268932
2.100000	1.503253	0.305520	0.994525	0.260873
2.110000	1.506239	0.291740	0.997090	0.252076
2.120000	1.509088	0.277910	0.999564	0.242540
2.130000	1.511798	0.264026	1.001939	0.232273
2.140000	1.514368	0.250089	1.004207	0.221291
2.150000	1.516799	0.236098	1.006362	0.209621
2.160000	1.519090	0.222057	1.008397	0.197294
2.170000	1.521240	0.207967	1.010306	0.184351
2.180000	1.523249	0.193834	1.012082	0.170839
2.190000	1.525117	0.179664	1.013721	0.156812
2.200000	1.526842	0.165461	1.015217	0.142327
2.210000	1.528426	0.151232	1.016566	0.127451
2.220000	1.529867	0.136983	1.017765	0.112252
2.230000	1.531165	0.122717	1.018811	0.096801
