Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000090	0.017995	0.000000	0.000052
0.020000	0.000360	0.036001	0.000002	0.000302
0.030000	0.000810	0.054009	0.000007	0.000890
0.040000	0.001440	0.072012	0.000021	0.001951
0.050000	0.002250	0.090000	0.000048	0.003614
0.060000	0.003240	0.107964	0.000096	0.006000
0.070000	0.004409	0.125897	0.000171	0.009218
0.080000	0.005758	0.143795	0.000283	0.013371
0.090000	0.007285	0.161654	0.000442	0.018546
0.100000	0.008991	0.179470	0.000658	0.024818
0.110000	0.010874	0.197244	0.000942	0.032249
0.120000	0.012936	0.214974	0.001307	0.040885
0.130000	0.015174	0.232661	0.001764	0.050758
0.140000	0.017589	0.250302	0.002326	0.061883
0.150000	0.020180	0.267894	0.003006	0.074262
0.160000	0.022946	0.285430	0.003816	0.087878
0.170000	0.025888	0.302902	0.004767	0.102701
0.180000	0.029004	0.320295	0.005873	0.118686
0.190000	0.032294	0.337592	0.007145	0.135771
0.200000	0.035756	0.354780	0.008592	0.153884
0.210000	0.039389	0.371841	0.010226	0.172935
0.220000	0.043192	0.388764	0.012054	0.192827
0.230000	0.047164	0.405536	0.014085	0.213448
0.240000	0.051302	0.422152	0.016325	0.234678
0.250000	0.055606	0.438611	0.018780	0.256391
0.260000	0.060074	0.454919	0.021454	0.278450
0.270000	0.064704	0.471086	0.024349	0.300716
0.280000	0.069495	0.487133	0.027468	0.323048
0.290000	0.074446	0.503084	0.030810	0.345300
0.300000	0.079557	0.518963	0.034374	0.367332
0.310000	0.084825	0.534796	0.038156	0.389001
0.320000	0.090252	0.550613	0.042152	0.410175
0.330000	0.095838	0.566436	0.046357	0.430722
0.340000	0.101581	0.582284	0.050764	0.450524
0.350000	0.107483	0.598175	0.055365	0.469470
0.360000	0.113545	0.614119	0.060150	0.487459
0.370000	0.119766	0.630118	0.065110	0.504405
0.380000	0.126147	0.646168	0.070234	0.520235
0.390000	0.132690	0.662264	0.075511	0.534888
0.400000	0.139393	0.678394	0.080928	0.548321
0.410000	0.146258	0.694541	0.086473	0.560504
0.420000	0.153284	0.710686	0.092134	0.571423
0.430000	0.160471	0.726811	0.097898	0.581080
0.440000	0.167820	0.742898	0.103751	0.589491
0.450000	0.175329	0.758927	0.109683	0.596688
0.460000	0.182998	0.774874	0.115681	0.602715
0.470000	0.190826	0.790719	0.121734	0.607631
0.480000	0.198812	0.806441	0.127830	0.611506
0.490000	0.206954	0.822018	0.133961	0.614424
0.500000	0.215252	0.837424	0.140116	0.616477
0.510000	0.223702	0.852636	0.146288	0.617764
0.520000	0.232304	0.867631	0.152469	0.618395
0.530000	0.241054	0.882386	0.158654	0.618482
0.540000	0.249951	0.896881	0.164837	0.618145
0.550000	0.258991	0.911097	0.171016	0.617504
0.560000	0.268172	0.925023	0.177187	0.616680
0.570000	0.277490	0.938652	0.183349	0.615793
0.580000	0.286944	0.951982	0.189503	0.614964
0.590000	0.296529	0.965019	0.195649	0.614306
0.600000	0.306243	0.977779	0.201790	0.613931
0.610000	0.316084	0.990277	0.207929	0.613941
0.620000	0.326048	1.002537	0.214070	0.614435
0.630000	0.336134	1.014579	0.220220	0.615503
0.640000	0.346339	1.026427	0.226383	0.617222
0.650000	0.356662	1.038103	0.232566	0.619664
0.660000	0.367100	1.049624	0.238779	0.622890
0.670000	0.377654	1.061000	0.245027	0.626947
0.680000	0.388320	1.072235	0.251320	0.631874
0.690000	0.399098	1.083330	0.257667	0.637696
0.700000	0.409986	1.094274	0.264077	0.644428
0.710000	0.420983	1.105049	0.270559	0.652069
0.720000	0.432086	1.115637	0.277122	0.660609
0.730000	0.443295	1.126016	0.283774	0.670025
0.740000	0.454606	1.136164	0.290525	0.680282
0.750000	0.466017	1.146063	0.297382	0.691330
0.760000	0.477526	1.155699	0.304354	0.703111
0.770000	0.489130	1.165064	0.311447	0.715554
0.780000	0.500827	1.174157	0.318667	0.728581
0.790000	0.512613	1.182980	0.326020	0.742102
0.800000	0.524485	1.191543	0.333510	0.756021
0.810000	0.536443	1.199857	0.341141	0.770234
0.820000	0.548482	1.207936	0.348916	0.784634
0.830000	0.560601	1.215796	0.356834	0.799108
0.840000	0.572797	1.223447	0.364898	0.813543
0.850000	0.585069	1.230896	0.373105	0.827825
0.860000	0.597414	1.238148	0.381453	0.841839
0.870000	0.609831	1.245200	0.389940	0.855474
0.880000	0.622317	1.252046	0.398561	0.868621
0.890000	0.634871	1.258674	0.407311	0.881177
0.900000	0.647490	1.265075	0.416183	0.893044
0.910000	0.660172	1.271237	0.425169	0.904132
0.920000	0.672914	1.277148	0.434262	0.914356
0.930000	0.685714	1.282802	0.443453	0.923645
0.940000	0.698569	1.288196	0.452732	0.931931
0.950000	0.711477	1.293331	0.462088	0.939162
0.960000	0.724435	1.298218	0.471511	0.945294
0.970000	0.737441	1.302868	0.480990	0.950296
0.980000	0.750492	1.307295	0.490514	0.954148
0.990000	0.763586	1.311516	0.500069	0.956842
1.000000	0.776721	1.315546	0.509647	0.958384
1.010000	0.789896	1.319401	0.519233	0.958792
1.020000	0.803109	1.323091	0.528819	0.958095
1.030000	0.816358	1.326619	0.538392	0.956334
1.040000	0.829641	1.329985	0.547942	0.953564
1.050000	0.842957	1.333186	0.557460	0.949849
1.060000	0.856304	1.336212	0.566936	0.945262
1.070000	0.869680	1.339050	0.576362	0.939887
1.080000	0.883084	1.341691	0.585731	0.933813
1.090000	0.896513	1.344122	0.595037	0.927139
1.100000	0.909966	1.346333	0.604273	0.919965
1.110000	0.923439	1.348319	0.613435	0.912398
1.120000	0.936932	1.350081	0.622520	0.904547
1.130000	0.950440	1.351622	0.631525	0.896521
1.140000	0.963963	1.352948	0.640450	0.888430
1.150000	0.977498	1.354068	0.649294	0.880382
1.160000	0.991044	1.354996	0.658058	0.872483
1.170000	1.004598	1.355743	0.666744	0.864836
1.180000	1.018158	1.356315	0.675356	0.857537
1.190000	1.031724	1.356714	0.683896	0.850677
1.200000	1.045292	1.356936	0.692371	0.844340
1.210000	1.058862	1.356970	0.700785	0.838603
1.220000	1.072431	1.356799	0.709145	0.833532
1.230000	1.085997	1.356402	0.717458	0.829184
1.240000	1.099558	1.355749	0.725732	0.825604
1.250000	1.113111	1.354809	0.733973	0.822828
1.260000	1.126653	1.353556	0.742191	0.820876
1.270000	1.140181	1.351966	0.750393	0.819758
1.280000	1.153691	1.350016	0.758589	0.819470
1.290000	1.167180	1.347693	0.766785	0.819997
1.300000	1.180644	1.344989	0.774991	0.821308
1.310000	1.194078	1.341907	0.783214	0.823361
1.320000	1.207481	1.338455	0.791461	0.826103
1.330000	1.220846	1.334648	0.799738	0.829469
1.340000	1.234172	1.330505	0.808052	0.833385
1.350000	1.247455	1.326048	0.816407	0.837766
1.360000	1.260692	1.321297	0.824809	0.842521
1.370000	1.273880	1.316272	0.833259	0.847551
1.380000	1.287017	1.310987	0.841760	0.852755
1.390000	1.300099	1.305453	0.850314	0.858025
1.400000	1.313125	1.299676	0.858921	0.863252
1.410000	1.326092	1.293655	0.867579	0.868327
1.420000	1.338998	1.287386	0.876286	0.873138
1.430000	1.351839	1.280864	0.885040	0.877579
1.440000	1.364614	1.274084	0.893836	0.881544
1.450000	1.377320	1.267036	0.902669	0.884933
1.460000	1.389954	1.259719	0.911533	0.887649
1.470000	1.402513	1.252132	0.920420	0.889603
1.480000	1.414995	1.244277	0.929322	0.890714
1.490000	1.427398	1.236162	0.938231	0.890908
1.500000	1.439718	1.227796	0.947137	0.890120
1.510000	1.451953	1.219193	0.956030	0.888297
1.520000	1.464101	1.210370	0.964899	0.885397
1.530000	1.476160	1.201339	0.973734	0.881388
1.540000	1.488127	1.192115	0.982523	0.876250
1.550000	1.500001	1.182708	0.991255	0.869976
1.560000	1.511781	1.173128	0.999919	0.862572
1.570000	1.523463	1.163378	1.008503	0.854055
1.580000	1.535048	1.153459	1.016996	0.844455
1.590000	1.546532	1.143368	1.025389	0.833812
1.600000	1.557915	1.133101	1.033669	0.822180
1.610000	1.569193	1.122651	1.041829	0.809622
1.620000	1.580367	1.112013	1.049859	0.796210
1.630000	1.591433	1.101181	1.057751	0.782024
1.640000	1.602390	1.090153	1.065497	0.767153
1.650000	1.613235	1.078926	1.073092	0.751692
1.660000	1.623968	1.067503	1.080529	0.735740
1.670000	1.634585	1.055886	1.087805	0.719401
1.680000	1.645085	1.044081	1.094916	0.702783
1.690000	1.655466	1.032093	1.101860	0.685992
1.700000	1.665726	1.019931	1.108636	0.669138
1.710000	1.675864	1.007601	1.115243	0.652327
1.720000	1.685878	0.995108	1.121683	0.635665
1.730000	1.695766	0.982454	1.127957	0.619253
1.740000	1.705526	0.969643	1.134069	0.603188
1.750000	1.715158	0.956673	1.140023	0.587560
1.760000	1.724659	0.943542	1.145822	0.572454
1.770000	1.734028	0.930245	1.151474	0.557945
1.780000	1.743263	0.916779	1.156983	0.544101
1.790000	1.752363	0.903142	1.162358	0.530978
1.800000	1.761326	0.889329	1.167606	0.518625
1.810000	1.770149	0.875337	1.172733	0.507076
1.820000	1.778832	0.861165	1.177750	0.496356
1.830000	1.787372	0.846814	1.182663	0.486479
1.840000	1.795768	0.832287	1.187482	0.477446
1.850000	1.804017	0.817586	1.192215	0.469247
1.860000	1.812119	0.802716	1.196870	0.461860
1.870000	1.820071	0.787681	1.201455	0.455253
1.880000	1.827872	0.772481	1.205977	0.449381
1.890000	1.835520	0.757119	1.210445	0.444192
1.900000	1.843014	0.741594	1.214863	0.439622
1.910000	1.850351	0.725908	1.219239	0.435601
1.920000	1.857531	0.710059	1.223577	0.432049
1.930000	1.864552	0.694046	1.227881	0.428881
1.940000	1.871412	0.677870	1.232155	0.426004
1.950000	1.878109	0.661532	1.236402	0.423325
1.960000	1.884642	0.645032	1.240622	0.420743
1.970000	1.891009	0.628376	1.244817	0.418157
1.980000	1.897209	0.611574	1.248985	0.415466
1.990000	1.903240	0.594632	1.253125	0.412568
2.000000	1.909101	0.577564	1.257235	0.409365
2.010000	1.914791	0.560382	1.261311	0.405759
2.020000	1.920308	0.543098	1.265349	0.401658
2.030000	1.925652	0.525724	1.269343	0.396977
2.040000	1.930822	0.508273	1.273286	0.391636
